,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,2_person_X,2_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,7_person_X,7_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,nan,nan,nan,nan,-1251.5625,-3743.79968,nan,nan,-515.31186,3347.49237,nan,nan,-8298.1465,1458.12813,nan,nan,nan,nan,nan,nan,nan,nan,-1251.5625,-3743.79968,nan,nan,-515.31186,3347.49237,nan,nan,-8298.1465,1458.12813,nan,nan
1,0.01,nan,nan,nan,nan,nan,nan,-1251.5625,-3743.79968,nan,nan,-515.31186,3347.49237,nan,nan,-8298.1465,1458.12813,nan,nan,nan,nan,nan,nan,nan,nan,-1250.24098,-3741.26151,nan,nan,-513.31944,3346.64155,nan,nan,-8299.73222,1458.21943,nan,nan
2,0.02,8557.00729,-566.95766,nan,nan,nan,nan,-1253.8648183615298,-3748.238072745371,nan,nan,-516.6321709197955,3352.314898286601,nan,nan,-8298.1465,1458.12813,nan,nan,8557.00729,-566.95766,nan,nan,nan,nan,-1248.84564,-3738.71105,nan,nan,-511.78924,3346.09983,nan,nan,-8301.49922,1458.20367,nan,nan
3,0.03,8557.00729,-566.95766,nan,nan,nan,nan,-1256.1923311606265,-3752.663305413835,nan,nan,-518.6325224495941,3356.897320545323,nan,nan,-8298.1465,1458.12813,nan,nan,8557.13798,-566.99956,nan,nan,nan,nan,-1247.3877,-3736.10154,nan,nan,-509.10029,3344.72946,nan,nan,-8303.18922,1458.42597,nan,nan
4,0.04,8557.00729,-566.95766,nan,nan,nan,nan,-1258.5400347105526,-3757.0778595296733,nan,nan,-520.6177065188776,3361.4863339699127,nan,nan,-8298.1465,1458.12813,nan,nan,8557.21237,-566.8112,nan,nan,nan,nan,-1246.41258,-3733.23699,nan,nan,-507.30363,3344.10034,nan,nan,-8304.64336,1458.39126,nan,nan
5,0.05,8558.078047700494,-571.8416622468088,nan,nan,nan,nan,-1260.7550394184746,-3761.560465261152,nan,nan,-522.6444262437327,3366.0571552480733,nan,nan,-8298.1465,1458.12813,nan,nan,8556.84145,-566.74389,nan,nan,nan,nan,-1244.99964,-3730.52035,nan,nan,-505.5111,3343.17095,nan,nan,-8307.17644,1458.49762,nan,nan
6,0.06,8559.34017332311,-576.6797443991433,nan,nan,nan,nan,-1263.0078596534004,-3766.024185793299,nan,nan,-524.6303393068436,3370.6458532448655,nan,nan,-8298.1465,1458.12813,nan,nan,8557.16866,-566.53341,nan,nan,nan,nan,-1243.4847,-3727.82294,nan,nan,-503.76278,3342.25622,nan,nan,-8307.51796,1458.45683,nan,nan
7,0.07,8560.311060019712,-581.5845766105812,nan,nan,nan,nan,-1265.2841738021339,-3770.4759712661485,nan,nan,-526.7068188786601,3375.194285127155,nan,nan,-8298.1465,1458.12813,nan,nan,8557.46864,-566.45295,nan,nan,nan,nan,-1241.82699,-3725.09877,nan,nan,-502.06381,3341.38759,nan,nan,-8309.2169,1458.72454,nan,nan
8,0.08,8561.138099859456,-586.5157027602023,nan,nan,nan,nan,-1267.5881442900322,-3774.9135066170943,nan,nan,-528.7131284118171,3379.774101941959,nan,nan,-8298.1465,1458.12813,nan,nan,8557.96208,-566.57779,nan,nan,nan,nan,-1240.15637,-3722.26446,nan,nan,-500.38853,3340.47045,nan,nan,-8311.71221,1459.15899,nan,nan
9,0.09,8561.804261324536,-591.4711269501623,nan,nan,nan,nan,-1269.9024031436386,-3779.345685083549,nan,nan,-530.6847605176627,3384.3689541527706,nan,nan,-8298.1465,1458.12813,nan,nan,8557.85794,-566.14626,nan,nan,nan,nan,-1238.49021,-3719.34357,nan,nan,-498.87883,3339.61906,nan,nan,-8310.74439,1458.80032,nan,nan
10,0.1,8562.527906406365,-596.4184835974584,nan,nan,nan,nan,-1272.2213014580284,-3783.775437966896,nan,nan,-532.8598222427947,3388.8710765957817,nan,nan,-8298.1465,1458.12813,nan,nan,8557.37996,-565.77889,nan,nan,nan,nan,-1236.74547,-3716.37747,nan,nan,-497.34974,3338.71119,nan,nan,-8310.95777,1458.79817,nan,nan
11,0.11,8563.363748519405,-601.3481253655859,nan,nan,nan,nan,-1274.5513626296674,-3788.199329346261,nan,nan,-534.9621296134982,3393.4076285594524,nan,nan,-8298.1465,1458.12813,nan,nan,8557.33666,-565.74529,nan,nan,nan,nan,-1234.98679,-3713.45941,nan,nan,-495.90017,3337.84393,nan,nan,-8313.49963,1459.07236,nan,nan
12,0.12,8564.168470166258,-606.2829427959562,nan,nan,nan,nan,-1276.8925346993399,-3792.6173507744784,nan,nan,-536.9697099755664,3397.9868884439575,nan,nan,-8298.1465,1458.12813,nan,nan,8557.48141,-565.19271,nan,nan,nan,nan,-1233.17417,-3710.4392,nan,nan,-494.55574,3336.96964,nan,nan,-8311.9241,1458.6775,nan,nan
13,0.13,8564.911747639833,-611.2273880223971,nan,nan,nan,nan,-1279.2419142899464,-3797.031013147071,nan,nan,-539.1906111676494,3402.4665756981085,nan,nan,-8298.1465,1458.12813,nan,nan,8558.74023,-565.42931,nan,nan,nan,nan,-1231.43473,-3707.49718,nan,nan,-493.359,3336.12306,nan,nan,-8312.16258,1458.51711,nan,nan
14,0.14,8565.428440999862,-616.2006191623808,nan,nan,nan,nan,-1281.5962241725322,-3801.4420476036084,nan,nan,-541.329695726314,3406.98590277754,nan,nan,-8298.1465,1458.12813,nan,nan,8558.82275,-565.06475,nan,nan,nan,nan,-1229.74651,-3704.48245,nan,nan,-492.18544,3335.19655,nan,nan,-8313.15676,1458.63009,nan,nan
15,0.15,8566.007891780853,-621.1669293412167,nan,nan,nan,nan,-1283.94982803538,-3805.853458812823,nan,nan,-543.4219692138199,3411.527091130106,nan,nan,-8298.1465,1458.12813,nan,nan,8559.44299,-564.92108,nan,nan,nan,nan,-1228.02754,-3701.55374,nan,nan,-491.13374,3334.29824,nan,nan,-8314.13787,1458.94089,nan,nan
16,0.16,8566.49571395592,-626.143075392682,nan,nan,nan,nan,-1286.3101841509,-3810.2612608737063,nan,nan,-545.5001173788064,3416.074760885526,nan,nan,-8298.1465,1458.12813,nan,nan,8558.55707,-564.55649,nan,nan,nan,nan,-1226.3597,-3698.69698,nan,nan,-490.15147,3333.32455,nan,nan,-8314.04433,1458.93422,nan,nan
17,0.17,8567.146384813412,-631.1005573578747,nan,nan,nan,nan,-1288.6739976622448,-3814.6672097707756,nan,nan,-547.6541888651395,3420.5869638986633,nan,nan,-8298.1465,1458.12813,nan,nan,8557.90862,-564.22459,nan,nan,nan,nan,-1224.71259,-3695.79346,nan,nan,-489.35513,3332.43388,nan,nan,-8312.828155,1458.485345,nan,nan
18,0.18,8567.830676266714,-636.0535105382447,nan,nan,nan,nan,-1291.0386655760528,-3819.0727001699715,nan,nan,-549.9028267517626,3425.0527927864337,nan,nan,-8298.1465,1458.12813,nan,nan,8557.9131,-564.10025,nan,nan,nan,nan,-1222.99668,-3692.81637,nan,nan,-488.6021,3331.42945,nan,nan,-8311.61198,1458.03647,nan,nan
19,0.19,8568.473017611039,-641.012078637744,nan,nan,nan,nan,-1293.4067394034491,-3823.4763607322766,nan,nan,-552.1592731464928,3429.5146813627775,nan,nan,-8298.1465,1458.12813,nan,nan,8559.35522,-563.65407,nan,nan,nan,nan,-1221.3073,-3689.84618,nan,nan,-487.95432,3330.48118,nan,nan,-8311.70131,1457.76047,nan,nan
20,0.2,8568.930316204945,-645.9911225214641,nan,nan,nan,nan,-1295.7761929151548,-3827.879279088988,nan,nan,-554.3592017923886,3434.0047051882116,nan,nan,-8298.1465,1458.12813,nan,nan,8558.3808,-563.33266,nan,nan,nan,nan,-1219.4894,-3686.78743,nan,nan,-487.4114,3329.49184,nan,nan,-8311.89845,1457.6981449999998,nan,nan
21,0.21,8569.565268660235,-650.950642193723,nan,nan,nan,nan,-1298.15116727927,-3832.279221903366,nan,nan,-556.5399681945903,3438.5040671317574,nan,nan,-8298.1465,1458.12813,nan,nan,8558.30861,-562.92614,nan,nan,nan,nan,-1217.54682,-3683.61557,nan,nan,-486.96886,3328.49089,nan,nan,-8312.09559,1457.63582,nan,nan
22,0.22,8570.159648457777,-655.9151877576468,nan,nan,nan,nan,-1300.532408091787,-3836.6757764854,nan,nan,-558.72820684269,3442.999799732676,nan,nan,-8298.1465,1458.12813,nan,nan,8558.87993,-562.56904,nan,nan,nan,nan,-1215.42956,-3680.46841,nan,nan,-486.6128,3327.49055,nan,nan,-8309.17558,1456.651,nan,nan
23,0.23,8570.68617694344,-660.8873872461816,nan,nan,nan,nan,-1302.9261225638022,-3841.065552223005,nan,nan,-561.1373578881199,3447.381122733814,nan,nan,-8299.154054266568,1463.0255614083937,nan,nan,8557.90342,-562.23576,nan,nan,nan,nan,-1213.23533,-3677.20404,nan,nan,-486.06635,3327.31007,nan,nan,-8308.05399,1456.53371,nan,nan
