,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,2_person_X,2_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,7_person_X,7_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,nan,nan,-1684.02476,-3324.18344,nan,nan,nan,nan,-616.31776,3286.09247,-6966.63978,1612.08059,nan,nan,-697.02362,-3351.00668,nan,nan,nan,nan,-1684.02476,-3324.18344,nan,nan,nan,nan,-616.31776,3286.09247,-6966.63978,1612.08059,nan,nan,-697.02362,-3351.00668
1,0.01,nan,nan,nan,nan,-1684.02476,-3324.18344,nan,nan,nan,nan,-616.31776,3286.09247,-6966.63978,1612.08059,nan,nan,-697.02362,-3351.00668,nan,nan,nan,nan,-1683.96215,-3324.10904,nan,nan,nan,nan,-614.11496,3283.75754,-6971.2988,1616.48369,nan,nan,-697.03176,-3350.79714
2,0.02,nan,nan,nan,nan,-1687.3045739230838,-3327.957406167038,nan,nan,nan,nan,-617.0877010639347,3291.0328334236833,-6970.041817226813,1608.416419874667,nan,nan,-696.9037524986096,-3356.005242971706,nan,nan,nan,nan,-1683.8788,-3324.07512,nan,nan,nan,nan,-611.83782,3281.49331,-6979.88372,1622.32274,nan,nan,-696.98934,-3350.4686
3,0.03,nan,nan,nan,nan,-1690.6724112573672,-3331.6530348943056,nan,nan,nan,nan,-618.3099975549445,3295.8811311958984,-6972.818894509653,1604.2585548257346,nan,nan,-696.9038714657145,-3361.005242970291,nan,nan,nan,nan,-1683.93101,-3323.9377,nan,nan,nan,nan,-609.21941,3279.9122,-6977.7149,1624.77316,nan,nan,-697.02142,-3350.21857
4,0.04,nan,nan,nan,nan,-1694.015887318984,-3335.3707180203123,nan,nan,nan,nan,-620.2870965429902,3300.4736337371573,-6975.480109964275,1600.025596958701,nan,nan,-696.9332210278934,-3366.005156829869,nan,nan,nan,nan,-1683.90477,-3323.88397,nan,nan,nan,nan,-606.90143,3277.29147,-6971.384,1626.30972,nan,nan,-696.62372,-3350.25208
5,0.05,nan,nan,nan,nan,-1697.3862746449147,-3339.064021321316,nan,nan,nan,nan,-622.6525545628643,3304.878699951894,-6978.1041517416925,1595.7694948980866,nan,nan,-697.188865251845,-3370.998617156212,nan,nan,nan,nan,-1683.8488,-3323.96289,nan,nan,nan,nan,-604.44293,3275.04923,-6972.44055,1629.99225,nan,nan,-696.9562,-3349.66827
6,0.06,nan,nan,nan,nan,-1700.803607643877,-3342.713930248153,nan,nan,nan,nan,-624.3361058670181,3309.5867414774416,-6980.746603673965,1591.5247984677599,nan,nan,-697.2956479301878,-3375.9974767721246,nan,nan,nan,nan,-1683.86916,-3323.87622,nan,nan,nan,nan,-602.04283,3272.84244,-6975.10082,1634.1044,nan,nan,-696.45664,-3349.6606
7,0.07,nan,nan,nan,nan,-1704.2099812991137,-3346.374069387709,nan,nan,nan,nan,-625.9229771430057,3314.328243302122,-6983.378603127661,1587.2736128830384,nan,nan,-697.6056399194097,-3380.987858016741,nan,nan,nan,nan,-1683.8672,-3323.91258,nan,nan,nan,nan,-599.56962,3270.68502,-6975.82234,1637.29595,nan,nan,-696.38276,-3349.3298
8,0.08,nan,nan,nan,nan,-1707.6365995915314,-3350.0152624721345,nan,nan,nan,nan,-627.7034503435453,3319.000492779853,-6986.009104618904,1583.0215002428824,nan,nan,-697.9030156655335,-3385.9790069491632,nan,nan,nan,nan,-1683.92418,-3323.89114,nan,nan,nan,nan,-597.24218,3268.56848,-6976.97149,1640.6251,nan,nan,-696.40081,-3348.92255
9,0.09,nan,nan,nan,nan,-1711.0611704095095,-3353.6583812888425,nan,nan,nan,nan,-629.4551447141519,3323.6836078576603,-6988.632421890929,1578.7649515834296,nan,nan,-698.1936605250559,-3390.970552357715,nan,nan,nan,nan,-1683.97716,-3323.70171,nan,nan,nan,nan,-594.93646,3266.55007,-6977.21845,1643.45008,nan,nan,-696.4882,-3348.57479
