,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,2_person_X,2_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,7_person_X,7_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1369.42952,-2993.73417,nan,nan,nan,nan,nan,nan,-511.39224,-3561.42374,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1369.42952,-2993.73417,nan,nan,nan,nan,nan,nan,-511.39224,-3561.42374
1,0.01,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1369.42952,-2993.73417,nan,nan,nan,nan,nan,nan,-511.39224,-3561.42374,nan,nan,nan,nan,nan,nan,-983.46729,-3695.64638,-1369.94829,-2992.46906,nan,nan,nan,nan,nan,nan,-510.144,-3560.5905
2,0.02,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1369.42952,-2993.73417,nan,nan,nan,nan,nan,nan,-509.78858065686813,-3566.1595901571723,nan,nan,nan,nan,nan,nan,-984.52498,-3698.42455,-1369.86402,-2990.65837,nan,nan,nan,nan,nan,nan,-508.73801,-3559.67354
3,0.03,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1374.3826237531991,-2994.4173707099258,nan,nan,nan,nan,nan,nan,-507.73567360653107,-3570.7187098795175,nan,nan,nan,nan,nan,nan,-986.19855,-3700.22379,-1370.41154,-2989.15767,nan,nan,nan,nan,nan,nan,-507.42958,-3558.54996
4,0.04,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1378.1481123326066,-2997.7069141065617,nan,nan,nan,nan,nan,nan,-505.7028364254409,-3575.2868137525898,nan,nan,nan,nan,nan,nan,-987.93932,-3701.60037,-1371.51956,-2987.89045,nan,nan,nan,nan,nan,nan,-506.25475,-3557.20827
5,0.05,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1380.8794428124604,-3001.894972583926,nan,nan,nan,nan,nan,nan,-503.7108172339254,-3579.872864290976,nan,nan,nan,nan,nan,nan,-989.48533,-3703.20342,-1372.71984,-2986.67289,nan,nan,nan,nan,nan,nan,-504.9665,-3555.72438
6,0.06,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1383.0148909359264,-3006.416019068092,nan,nan,nan,nan,nan,nan,-501.7580852216753,-3584.47578050663,nan,nan,nan,nan,nan,nan,-991.04566,-3704.6278,-1374.07719,-2985.47907,nan,nan,nan,nan,nan,nan,-503.59668,-3554.1504
7,0.07,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1384.7300336677683,-3011.1126439636323,nan,nan,nan,nan,nan,nan,-499.8517545061641,-3589.0981071072824,nan,nan,nan,nan,nan,nan,-992.37873,-3706.0454,-1375.65355,-2984.45413,nan,nan,nan,nan,nan,nan,-502.08504,-3552.53224
8,0.08,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1386.3897173343173,-3015.829152219428,nan,nan,nan,nan,nan,nan,-497.98812715941546,-3593.7378154076446,nan,nan,nan,nan,nan,nan,-993.52928,-3707.38776,-1377.38965,-2983.48243,nan,nan,nan,nan,nan,nan,-500.67858,-3550.75112
9,0.09,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1388.053407893422,-3020.5442485836124,nan,nan,nan,nan,nan,nan,-496.1648983693231,-3598.3935470127717,nan,nan,nan,nan,nan,nan,-994.71657,-3708.63939,-1379.27807,-2982.66165,nan,nan,nan,nan,nan,nan,-499.19591,-3548.85972
10,0.1,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1389.72397823992,-3025.256911813401,nan,nan,nan,nan,nan,nan,-494.3864682205413,-3603.066574533117,nan,nan,nan,nan,nan,nan,-995.78522,-3709.75901,-1382.28399,-2982.21563,nan,nan,nan,nan,nan,nan,-497.78245,-3546.79954
11,0.11,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1391.3997238910663,-3029.967737273197,nan,nan,nan,nan,nan,nan,-492.6505638640361,-3607.7555654762805,nan,nan,nan,nan,nan,nan,-996.77454,-3710.88034,-1384.43014,-2981.6238,nan,nan,nan,nan,nan,nan,-496.19353,-3544.8136
12,0.12,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1393.079983137329,-3034.676954709815,nan,nan,nan,nan,nan,nan,-490.95761619954783,-3612.460236368628,nan,nan,nan,nan,nan,nan,-997.6861,-3711.85486,-1386.7943,-2981.31831,nan,nan,nan,nan,nan,nan,-494.59548,-3542.66724
13,0.13,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1394.764954227166,-3039.384488291895,nan,nan,nan,nan,nan,nan,-489.30793011876403,-3617.180250757893,nan,nan,nan,nan,nan,nan,-998.53319,-3712.76912,-1388.43669,-2980.84586,nan,nan,nan,nan,nan,nan,-493.00448,-3540.54994
14,0.14,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1396.4541922518251,-3044.090492424495,nan,nan,nan,nan,nan,nan,-487.7010110898026,-3621.9149958655375,nan,nan,nan,nan,nan,nan,-999.28312,-3713.69334,-1390.63775,-2980.57869,nan,nan,nan,nan,nan,nan,-491.32845,-3538.31956
15,0.15,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1398.146342764099,-3048.795450091022,nan,nan,nan,nan,nan,nan,-486.13508256659753,-3626.6634553905005,nan,nan,nan,nan,nan,nan,-1000.09688,-3714.50568,-1392.75079,-2980.36299,nan,nan,nan,nan,nan,nan,-489.72887,-3536.09527
16,0.16,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1399.843981967143,-3053.4984301182267,nan,nan,nan,nan,nan,nan,-484.6135953050954,-3631.4263407043713,nan,nan,nan,nan,nan,nan,-1000.76081,-3715.31206,-1394.92977,-2980.17073,nan,nan,nan,nan,nan,nan,-488.04372,-3533.94663
17,0.17,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1401.543829866811,-3058.2006122837743,nan,nan,nan,nan,nan,nan,-483.1329100000212,-3636.202067981691,nan,nan,nan,nan,nan,nan,-1001.33267,-3716.09025,-1396.94365,-2979.99687,nan,nan,nan,nan,nan,nan,-486.4536,-3531.67776
18,0.18,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1403.2456692177611,-3062.9020740589626,nan,nan,nan,nan,nan,nan,-481.69203576747344,-3640.9899570202947,nan,nan,nan,nan,nan,nan,-1001.76439,-3716.74616,-1398.93317,-2979.83972,nan,nan,nan,nan,nan,nan,-484.71228,-3529.5632
19,0.19,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1404.948523628105,-3067.6031682780963,nan,nan,nan,nan,nan,nan,-480.2917746405916,-3645.78988085058,nan,nan,nan,nan,nan,nan,-1002.23264,-3717.42842,-1400.84336,-2979.7003,nan,nan,nan,nan,nan,nan,-482.97151,-3527.39095
20,0.2,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1406.6536465282259,-3072.3034401740065,nan,nan,nan,nan,nan,nan,-478.9323701416195,-3650.601535390151,nan,nan,nan,nan,nan,nan,-1002.622,-3718.09653,-1402.83356,-2979.57724,nan,nan,nan,nan,nan,nan,-481.03463,-3525.3005
21,0.21,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1408.3595505215003,-3077.0034286384316,nan,nan,nan,nan,nan,nan,-477.61297287803563,-3655.424313724353,nan,nan,nan,nan,nan,nan,-1002.95201,-3718.72275,-1404.49296,-2979.37132,nan,nan,nan,nan,nan,nan,-478.98412,-3523.32482
22,0.22,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1410.0660623598105,-3081.7031964354305,nan,nan,nan,nan,nan,nan,-476.3337818439538,-3660.257911793941,nan,nan,nan,nan,nan,nan,-1002.9381,-3719.41535,-1406.13472,-2979.24702,nan,nan,nan,nan,nan,nan,-477.06922,-3521.38333
23,0.23,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1411.7669781426173,-3086.404992422051,nan,nan,nan,nan,nan,nan,-475.08610814667026,-3665.0997410293753,nan,nan,nan,nan,nan,nan,-1002.86863,-3720.14845,-1407.94543,-2978.84775,nan,nan,nan,nan,nan,nan,-475.06831,-3519.5352
24,0.24,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1413.4640402038583,-3091.1081807406595,nan,nan,nan,nan,nan,nan,-473.8726477676826,-3669.9502578996303,nan,nan,nan,nan,nan,nan,-1002.67175,-3720.82589,-1409.33418,-2978.91271,nan,nan,nan,nan,nan,nan,-473.06695,-3517.80006
25,0.25,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1415.1558782818213,-3095.8132507633004,nan,nan,nan,nan,nan,nan,-472.69236921355997,-3674.8089555167576,nan,nan,nan,nan,nan,nan,-1002.45442,-3721.446,-1410.77241,-2978.71727,nan,nan,nan,nan,nan,nan,-471.08148,-3516.11029
26,0.26,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1416.8433664567751,-3100.519882643891,nan,nan,nan,nan,nan,nan,-471.5464228897639,-3679.6758649080425,nan,nan,nan,nan,nan,nan,-1002.15918,-3721.98782,-1412.32781,-2978.48527,nan,nan,nan,nan,nan,nan,-469.30856,-3514.50528
27,0.27,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1418.5255521069214,-3105.2284122910783,nan,nan,nan,nan,nan,nan,-470.4337392494845,-3684.550486443778,nan,nan,nan,nan,nan,nan,-1001.82632,-3722.33986,-1413.86011,-2978.07442,nan,nan,nan,nan,nan,nan,-467.50112,-3513.04744
28,0.28,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1420.203384112443,-3109.9384950675535,nan,nan,nan,nan,nan,nan,-469.357224937022,-3689.433223067339,nan,nan,nan,nan,nan,nan,-1001.52661,-3722.53311,-1415.09049,-2978.05642,nan,nan,nan,nan,nan,nan,-465.70803,-3511.67506
29,0.29,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1421.8782691377094,-3114.649626582608,nan,nan,nan,nan,nan,nan,-468.3190019645873,-3694.324244745834,nan,nan,nan,nan,nan,nan,-1001.22127,-3722.57634,-1416.45714,-2977.86433,nan,nan,nan,nan,nan,nan,-464.02258,-3510.47112
30,0.3,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1423.5502946902466,-3119.3617737101563,nan,nan,nan,nan,nan,nan,-467.3199467478535,-3699.223416989583,nan,nan,nan,nan,nan,nan,-1000.82193,-3722.50053,-1417.72653,-2977.59155,nan,nan,nan,nan,nan,nan,-462.34183,-3509.3114
31,0.31,nan,nan,nan,nan,nan,nan,-981.72563,-3693.59215,-1425.2179807369541,-3124.0754583887933,nan,nan,nan,nan,nan,nan,-466.35857932179766,-3704.130123896676,nan,nan,nan,nan,nan,nan,-999.35261,-3723.22439,-1418.93946,-2977.34913,nan,nan,nan,nan,nan,nan,-460.90479,-3508.21337
