,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7374.79071,-2163.48508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7374.79071,-2163.48508,nan,nan
3,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7374.79071,-2163.48508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7371.13737,-2168.2187,nan,nan
4,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7377.7901665357695,-2159.484672459507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7366.04974,-2172.60714,nan,nan
5,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7381.130159390423,-2155.7638596812462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7361.03868,-2177.03011,nan,nan
6,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7384.558535612677,-2152.124321732731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7356.95502,-2181.22331,nan,nan
7,0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7387.954766144288,-2148.4547688749367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7350.96886,-2185.42543,nan,nan
8,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7391.502562050872,-2144.9315396452057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7347.31915,-2189.64857,nan,nan
9,0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7394.951432608496,-2141.3114164599046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7340.8132,-2193.67658,nan,nan
10,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7398.554461984119,-2137.844691879209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7337.25846,-2198.08561,nan,nan
11,0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7402.048263338148,-2134.2679123083394,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7332.97872,-2202.69578,nan,nan
12,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7405.5373804517085,-2130.6865631536416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7327.00587,-2207.07118,nan,nan
13,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7409.096041533452,-2127.1743087059567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7321.93426,-2211.63503,nan,nan
14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7412.639620961642,-2123.646838672618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7315.94339,-2215.81064,nan,nan
15,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7416.230178546252,-2120.1671984280524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7311.24353,-2220.05719,nan,nan
16,0.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7419.801014198879,-2116.667322324255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7306.55389,-2224.32296,nan,nan
17,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7423.370761560814,-2113.1663362100353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7300.37609,-2227.77372,nan,nan
18,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7427.0034108591235,-2109.7306617383356,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7295.25972,-2231.96058,nan,nan
19,0.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7430.618505883015,-2106.2765210393723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7290.41972,-2235.86561,nan,nan
20,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7434.237892935137,-2102.8268779611785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7284.27747,-2239.64163,nan,nan
21,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7437.8925668017555,-2099.414641315127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7280.53836,-2243.69577,nan,nan
22,0.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7441.509166574196,-2095.962076169328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7275.77862,-2247.78015,nan,nan
23,0.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7445.134986486426,-2092.5191951135735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7269.26149,-2251.86783,nan,nan
24,0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7448.793332143588,-2089.110895383103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7265.71074,-2256.31101,nan,nan
25,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7452.406453686402,-2085.654690424358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7261.00526,-2260.45787,nan,nan
26,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7456.02997648749,-2082.209391814659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7255.62719,-2264.07484,nan,nan
27,0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7459.672558088818,-2078.7842495872956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7252.24176,-2268.71931,nan,nan
28,0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7463.272541634663,-2075.3143622015664,nan,nan,9173.3963,-30.76598,nan,nan,nan,nan,nan,nan,nan,nan,-7248.2074,-2272.72492,nan,nan
29,0.29,9173.3963,-30.76598,nan,nan,nan,nan,nan,nan,nan,nan,-7466.876325996471,-2071.8484224626804,nan,nan,9173.79903,-28.72881,nan,nan,nan,nan,nan,nan,nan,nan,-7244.73638,-2276.48349,nan,nan
30,0.3,9173.711290002808,-35.75604826587884,nan,nan,nan,nan,nan,nan,nan,nan,-7470.4695772847945,-2068.371563941118,nan,nan,9173.36246,-26.71398,nan,nan,nan,nan,nan,nan,nan,nan,-7240.79263,-2280.28845,nan,nan
31,0.31,9173.969990677602,-40.749351176864806,nan,nan,nan,nan,nan,nan,nan,nan,-7474.060402821651,-2064.8922002113736,nan,nan,9175.41844,-24.95266,nan,nan,nan,nan,nan,nan,nan,nan,-7238.18878,-2284.03164,nan,nan
32,0.32,9173.931133326136,-45.749200185208664,nan,nan,nan,nan,nan,nan,nan,nan,-7477.627594656384,-2061.3886102790016,nan,nan,9174.46617,-23.72018,nan,nan,nan,nan,nan,nan,nan,nan,-7234.08549,-2287.65762,nan,nan
33,0.33,9173.912380579359,-50.74916501853383,nan,nan,nan,nan,nan,nan,nan,nan,-7481.202860773212,-2057.8932601972697,nan,nan,9174.01659,-22.97157,nan,nan,nan,nan,nan,nan,nan,nan,-7231.42655,-2291.2649,nan,nan
34,0.34,9173.874611424224,-55.74902236559088,nan,nan,nan,nan,nan,nan,nan,nan,-7484.755720384989,-2054.3751373200807,nan,nan,9174.83815,-21.78344,nan,nan,nan,nan,nan,nan,nan,nan,-7228.53208,-2294.9958,nan,nan
35,0.35000000000000003,9173.812602084312,-60.74863783498086,nan,nan,nan,nan,nan,nan,nan,nan,-7488.296700793913,-2050.845058320452,nan,nan,9174.31103,-21.15187,nan,nan,nan,nan,nan,nan,nan,nan,-7226.03951,-2298.789,nan,nan
36,0.36,9173.741053475189,-65.7481258884252,nan,nan,nan,nan,nan,nan,nan,nan,-7491.819136745969,-2047.2964748053487,nan,nan,9173.16455,-20.59035,nan,nan,nan,nan,nan,nan,nan,nan,-7223.30547,-2302.06117,nan,nan
37,0.37,9173.814907414953,-70.74758041822956,nan,nan,nan,nan,nan,nan,nan,nan,-7495.336698562473,-2043.7430597061696,nan,nan,9174.04362,-19.81602,nan,nan,nan,nan,nan,nan,nan,nan,-7221.0031,-2305.59015,nan,nan
38,0.38,9173.709511160572,-75.74646945776249,nan,nan,nan,nan,nan,nan,nan,nan,-7498.834945938641,-2040.170628419897,nan,nan,9172.26392,-20.02647,nan,nan,nan,nan,nan,nan,nan,nan,-7218.90736,-2309.28059,nan,nan
39,0.39,9173.876839541206,-80.74366879469454,nan,nan,nan,nan,nan,nan,nan,nan,-7502.313280824622,-2036.5788062610245,nan,nan,9173.22389,-19.94957,nan,nan,nan,nan,nan,nan,nan,nan,-7215.9609,-2312.62266,nan,nan
40,0.4,9173.774658794991,-85.74262459516956,nan,nan,nan,nan,nan,nan,nan,nan,-7505.788952143516,-2032.9844066055864,nan,nan,9171.73858,-20.20327,nan,nan,nan,nan,nan,nan,nan,nan,-7214.04004,-2316.21579,nan,nan
41,0.41000000000000003,9173.925863663673,-90.74033778098634,nan,nan,nan,nan,nan,nan,nan,nan,-7509.238783462061,-2029.3651989749594,nan,nan,9172.01253,-20.04424,nan,nan,nan,nan,nan,nan,nan,nan,-7210.94464,-2319.72999,nan,nan
42,0.42,9173.950854371486,-95.7402753270486,nan,nan,nan,nan,nan,nan,nan,nan,-7512.684349886783,-2025.7419308351673,nan,nan,9170.218649999999,-20.347765,nan,nan,nan,nan,nan,nan,nan,nan,-7209.04883,-2322.76098,nan,nan
43,0.43,9174.203573175635,-100.73388456346557,nan,nan,nan,nan,nan,nan,nan,nan,-7516.111229156909,-2022.1009833667213,nan,nan,9168.42477,-20.65129,nan,nan,nan,nan,nan,nan,nan,nan,-7206.76559,-2326.18388,nan,nan
44,0.44,9174.56987564362,-105.72044876158317,nan,nan,nan,nan,nan,nan,nan,nan,-7519.5210401206,-2018.4440462341072,nan,nan,9168.40891,-20.659689999999998,nan,nan,nan,nan,nan,nan,nan,nan,-7205.37537,-2329.66296,nan,nan
45,0.45,9174.837634185023,-110.7132741504292,nan,nan,nan,nan,nan,nan,nan,nan,-7522.903298165839,-2014.7616108286427,nan,nan,9168.39305,-20.66809,nan,nan,nan,nan,nan,nan,nan,nan,-7204.37365,-2333.34509,nan,nan
46,0.46,9175.09520535454,-115.70663545246148,nan,nan,nan,nan,nan,nan,nan,nan,-7526.255473742142,-2011.051770009195,nan,nan,9165.94367,-20.87446,nan,nan,nan,nan,nan,nan,nan,nan,-7201.79802,-2336.29893,nan,nan
47,0.47000000000000003,9175.591068914417,-120.68198662901052,nan,nan,nan,nan,nan,nan,nan,nan,-7529.605793695747,-2007.3402533099897,nan,nan,9166.2723,-21.03138,nan,nan,nan,nan,nan,nan,nan,nan,-7200.65668,-2339.70495,nan,nan
