,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,8_person_X,8_person_Y
0,0.0,-438.86033,3197.05495,nan,nan,-758.78643,-3588.21721,nan,nan,-6381.62074,1489.46483,-1019.57985,-3562.83301,nan,nan,-438.86033,3197.05495,nan,nan,-758.78643,-3588.21721,nan,nan,-6381.62074,1489.46483,-1019.57985,-3562.83301,nan,nan
1,0.01,-438.86033,3197.05495,nan,nan,-758.78643,-3588.21721,nan,nan,-6381.62074,1489.46483,-1019.57985,-3562.83301,nan,nan,-434.01393,3198.80358,nan,nan,-757.30837,-3584.94327,nan,nan,-6380.82846,1489.47438,-1019.12599,-3563.16156,nan,nan
2,0.02,-438.86033,3197.05495,nan,nan,-757.1496725500049,-3592.941723207716,nan,nan,-6386.620426777633,1489.4088646038433,-1023.0939999561609,-3566.3897992945203,nan,nan,-429.11102,3200.62116,nan,nan,-755.85073,-3581.69177,nan,nan,-6380.02669,1489.26431,-1019.56031,-3562.18894,nan,nan
3,0.03,-438.86033,3197.05495,nan,nan,-755.1959384705709,-3597.544214179664,nan,nan,-6391.618794434679,1489.536617353282,-1026.1038893184507,-3570.38236313581,nan,nan,-424.30368,3202.78743,nan,nan,-754.38063,-3578.15262,nan,nan,-6381.00566,1489.71849,-1020.08046,-3561.05452,nan,nan
4,0.04,-438.86033,3197.05495,nan,nan,-753.2538267922754,-3602.1516215014694,nan,nan,-6396.6158632564175,1489.3654356053778,-1028.883053820479,-3574.5388333535147,nan,nan,-419.29567,3204.50956,nan,nan,-752.81125,-3575.09731,nan,nan,-6380.20303,1489.59983,-1020.71127,-3560.42832,nan,nan
5,0.05,-438.86033,3197.05495,nan,nan,-751.3531019462682,-3606.7762560880906,nan,nan,-6401.615499696328,1489.30514075714,-1031.542004453668,-3578.7732142445384,nan,nan,-414.34416,3206.30398,nan,nan,-751.22826,-3571.64527,nan,nan,-6380.03827,1489.61523,-1021.19469,-3559.43527,nan,nan
6,0.06,-438.86033,3197.05495,nan,nan,-749.5077166553098,-3611.423250076457,nan,nan,-6406.615038061075,1489.2371985801126,-1034.0706726468593,-3583.086662652569,nan,nan,-409.55406,3208.45743,nan,nan,-749.56524,-3568.08647,nan,nan,-6379.41813,1489.52626,-1021.63232,-3558.37374,nan,nan
7,0.07,-438.86033,3197.05495,nan,nan,-747.7206894163371,-3616.09299671275,nan,nan,-6411.614907919889,1489.2011237284348,-1036.469655524443,-3587.4735614607316,nan,nan,-404.79704,3210.63758,nan,nan,-747.81444,-3564.64414,nan,nan,-6379.57459,1489.63697,-1022.17983,-3557.32022,nan,nan
8,0.08,-438.86033,3197.05495,nan,nan,-745.9951233255432,-3620.78580202155,nan,nan,-6416.6143476651205,1489.1262756569552,-1038.7415726050401,-3591.9275925314464,nan,nan,-399.98724,3212.82702,nan,nan,-746.07745,-3561.23791,nan,nan,-6380.23112,1489.97804,-1022.74436,-3556.14169,nan,nan
9,0.09,-438.86033,3197.05495,nan,nan,-744.3322534317545,-3625.501187871757,nan,nan,-6421.612013596963,1488.9735169135083,-1040.8880160114702,-3596.443429187371,nan,nan,-395.06167,3215.0798,nan,nan,-744.31207,-3557.90401,nan,nan,-6379.87128,1489.82054,-1024.50881,-3555.98825,nan,nan
