,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,2_person_X,2_person_Y,4_person_X,4_person_Y,5_person_X,5_person_Y,6_person_X,6_person_Y,7_person_X,7_person_Y
0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.02,nan,nan,-8363.60365,2059.24885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8363.60365,2059.24885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.03,nan,nan,-8363.60365,2059.24885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8361.83032,2059.13973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.04,8409.10009,476.59419,-8368.59519476493,2059.539505912872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8409.10009,476.59419,-8360.26054,2059.09448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.05,8409.10009,476.59419,-8373.589209733265,2059.7840759356704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8408.18856,472.99685,-8358.53177,2059.16128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.06,8410.24940278391,481.46030550672015,-8378.586487262535,2059.949052586905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8406.81671,470.42869,-8356.50645,2059.31773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.07,8411.707771874502,486.24289472131966,-8383.585681307173,2060.0388239857753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8405.06201,466.29659,-8354.67264,2059.4345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.08,8413.247721572552,490.9998427899322,-8388.585322308865,2060.098739377748,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8402.49454,460.56732,-8353.12919,2059.71359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.09,8414.87770229349,495.72669828268516,-8393.585321776338,2060.0964317214207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8400.9178,455.01582,-8350.68336,2060.02558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.1,8416.393623418715,500.49135809657514,-8398.585098085223,2060.0491362552707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8398.81206,449.22583,-8348.4466,2060.1333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.11,8417.935154295548,505.24779400550636,-8403.584903055451,2060.0049745106876,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8397.02662,443.98485,-8346.47613,2060.44878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.12,8419.462994499792,510.0086452224946,-8408.5841462272,2059.917981926436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8394.90571,438.80317,-8343.66019,2060.39256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,0.13,8421.021446669973,514.7595637477126,-8413.583799356044,2059.8590871791866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8393.61705,434.65586,-8342.01329,2060.71127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,0.14,8422.54582670756,519.5215240059472,-8418.582722496847,2059.7553209402704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8392.57084,430.77531,-8338.33728,2060.79274,8603.07171,2750.50073,nan,nan,nan,nan,nan,nan,nan,nan
15,0.15,8422.54582670756,519.5215240059472,-8418.582722496847,2059.7553209402704,8603.07171,2750.50073,nan,nan,nan,nan,nan,nan,nan,nan,8391.82658,427.03244,-8336.72444,2060.97133,8600.35445,2752.12043,nan,nan,nan,nan,nan,nan,nan,nan
16,0.16,8427.48892674252,520.2736955584331,-8423.581523710933,2059.6458384208563,8608.025532175969,2749.822758135629,nan,nan,nan,nan,nan,nan,nan,nan,8390.56631,422.96568,-8333.6028,2061.08357,8595.63816,2752.9078,nan,nan,nan,nan,nan,nan,nan,nan
17,0.17,8431.382036990804,523.4111615095954,-8428.580297263452,2059.535100122864,8612.912418391888,2748.765240706618,nan,nan,nan,nan,nan,nan,nan,nan,8389.296,418.789,-8331.56975,2061.35922,8592.34677,2754.47062,nan,nan,nan,nan,nan,nan,nan,nan
18,0.18,8435.498064560614,526.2498790095543,-8433.57852663396,2059.402046901273,8617.699613894234,2747.322063925238,nan,nan,nan,nan,nan,nan,nan,nan,8388.56593,414.70529,-8329.4225,2061.70352,8586.63353,2755.03771,nan,nan,nan,nan,nan,nan,nan,nan
19,0.19,8438.938777963942,529.8777559749645,-8438.576205179545,2059.249701389318,8622.556043415605,2746.13248740229,nan,nan,nan,nan,nan,nan,nan,nan,8387.16532,409.98282,-8326.51397,2061.9324,8584.09481,2756.65014,nan,nan,nan,nan,nan,nan,nan,nan
20,0.2,8443.225329962355,532.4517551911464,-8443.573780140492,2059.09399490353,8627.34167570369,2744.68413537214,nan,nan,nan,nan,nan,nan,nan,nan,8386.27083,405.43706,-8324.16379,2062.37814,8578.04729,2757.13089,nan,nan,nan,nan,nan,nan,nan,nan
21,0.21,8446.582761224066,536.1568402539875,-8448.570462920974,2058.9118927584695,8632.191801964178,2743.46911469029,nan,nan,nan,nan,nan,nan,nan,nan,8385.06465,400.4221,-8321.29499,2062.6721,8576.8493,2759.41131,nan,nan,nan,nan,nan,nan,nan,nan
22,0.22,8451.183551574215,538.1145757197675,-8453.566998446793,2058.7257940232957,8636.94035167408,2741.9034596668,nan,nan,nan,nan,nan,nan,nan,nan,8383.96134,395.33218,-8319.2915,2063.16956,8569.83275,2759.40175,nan,nan,nan,nan,nan,nan,nan,nan
23,0.23,8454.316976294846,542.0109393475803,-8458.562517817281,2058.514166475269,8641.787103398829,2740.6750469842477,nan,nan,nan,nan,nan,nan,nan,nan,8383.42205,390.26524,-8315.16347,2063.41866,8566.55573,2760.73057,nan,nan,nan,nan,nan,nan,nan,nan
24,0.24,8458.380931397405,544.9237161883946,-8463.558246098686,2058.307529260868,8646.597035732333,2739.3095613757177,nan,nan,nan,nan,nan,nan,nan,nan,8382.8228,384.96862,-8312.9103,2064.12812,8561.24994,2761.33352,nan,nan,nan,nan,nan,nan,nan,nan
25,0.25,8461.836982988454,548.5369844319663,-8468.552235124167,2058.0624300699583,8651.431669001022,2738.034288402081,nan,nan,nan,nan,nan,nan,nan,nan,8382.46055,379.54207,-8310.3425,2064.7888,8558.50577,2762.98455,nan,nan,nan,nan,nan,nan,nan,nan
26,0.26,8466.015297384962,551.2831979713584,-8473.5453238916,2057.7996286990774,8656.233133741762,2736.6393201789933,nan,nan,nan,nan,nan,nan,nan,nan,8382.16087,373.87867,-8307.10826,2065.20532,8552.11956,2763.12153,nan,nan,nan,nan,nan,nan,nan,nan
27,0.27,8469.149183548421,555.1791904655094,-8478.538312976905,2057.53494021422,8661.07726579021,2735.4006173505545,nan,nan,nan,nan,nan,nan,nan,nan,8382.35659,368.27681,-8305.04562,2065.93841,8544.58312,2763.30509,nan,nan,nan,nan,nan,nan,nan,nan
28,0.28,8471.956032608854,559.3170157822609,-8483.529630359426,2057.240405348813,8665.938871948027,2734.2323769787604,nan,nan,nan,nan,nan,nan,nan,nan,8382.91151,362.45638,-8302.24792,2066.79442,8540.38675,2764.3953,nan,nan,nan,nan,nan,nan,nan,nan
29,0.29,8475.716147712916,562.6126999910712,-8488.51948730689,2056.9220853151214,8670.78492124732,2733.001196167981,nan,nan,nan,nan,nan,nan,nan,nan,8383.67482,356.48361,-8300.10162,2067.37495,8535.61163,2765.2826,nan,nan,nan,nan,nan,nan,nan,nan
30,0.3,8479.254441127257,566.145472233096,-8493.508840988246,2056.595972079674,8675.634506418957,2731.7840176013665,nan,nan,nan,nan,nan,nan,nan,nan,8385.06828,350.48456,-8297.26968,2067.94159,8529.2443,2765.6897,nan,nan,nan,nan,nan,nan,nan,nan
31,0.31,8482.326298824348,570.0905565527057,-8498.49749685499,2056.2593526458822,8680.497641147587,2730.622156761509,nan,nan,nan,nan,nan,nan,nan,nan,8386.00534,344.38253,-8294.70508,2068.5577,8523.55355,2766.35438,nan,nan,nan,nan,nan,nan,nan,nan
32,0.32,8485.578015770596,573.8887583511214,-8503.485153733523,2055.908241748827,8685.361800629165,2729.464593571974,nan,nan,nan,nan,nan,nan,nan,nan,8387.52304,338.38838,-8291.95959,2069.11243,8517.29996,2766.68116,nan,nan,nan,nan,nan,nan,nan,nan
33,0.33,8488.609882389226,577.8646588537543,-8508.472158779377,2055.547990902008,8690.234700076968,2728.344392263459,nan,nan,nan,nan,nan,nan,nan,nan,8389.08007,332.45553,-8288.37022,2069.48978,8511.87978,2767.28017,nan,nan,nan,nan,nan,nan,nan,nan
34,0.34,8491.875134060334,581.6512313836722,-8513.459157348214,2055.187650404121,8695.107799640866,2727.2250618205867,nan,nan,nan,nan,nan,nan,nan,nan,8390.90459,326.70123,-8286.15693,2070.19942,8504.31636,2767.19855,nan,nan,nan,nan,nan,nan,nan,nan
35,0.35000000000000003,8494.507826583133,585.9019877964065,-8518.444448842933,2054.8044158640696,8699.994976143911,2726.168886727111,nan,nan,nan,nan,nan,nan,nan,nan,8392.50715,321.19114,-8283.20866,2070.2885,8498.41314,2767.4883,nan,nan,nan,nan,nan,nan,nan,nan
36,0.36,8497.558414840809,589.863541946248,-8523.43080899945,2054.435346237188,8704.88276000753,2725.1155259614893,nan,nan,nan,nan,nan,nan,nan,nan,8393.93048,315.74224,-8279.75925,2070.88057,8494.04414,2768.05842,nan,nan,nan,nan,nan,nan,nan,nan
37,0.37,8501.013843357003,593.4774060512572,-8528.415770122128,2054.0478380367754,8709.768607066851,2724.053217855098,nan,nan,nan,nan,nan,nan,nan,nan,8396.32729,310.37315,-8276.33357,2071.053,8487.32034,2767.68928,nan,nan,nan,nan,nan,nan,nan,nan
38,0.38,8503.698511974855,597.695528194145,-8533.40128987502,2053.6675844457104,8714.667234483313,2723.051494622521,nan,nan,nan,nan,nan,nan,nan,nan,8398.45907,305.02981,-8273.29974,2071.06049,8478.83742,2766.93422,nan,nan,nan,nan,nan,nan,nan,nan
39,0.39,8505.86974663096,602.1994975621718,-8538.387171403476,2053.2921042409002,8719.577163563836,2722.1067214093937,nan,nan,nan,nan,nan,nan,nan,nan,8400.67343,299.70824,-8269.29337,2071.09229,8473.49079,2766.82947,nan,nan,nan,nan,nan,nan,nan,nan
40,0.4,8508.892973000016,606.1819719590061,-8543.373279757787,2052.919648231315,8724.486191536058,2721.1572771677797,nan,nan,nan,nan,nan,nan,nan,nan,8403.47937,294.48696,-8265.52146,2070.99368,8466.05374,2765.57407,nan,nan,nan,nan,nan,nan,nan,nan
41,0.41000000000000003,8511.082710756351,610.6769745795261,-8548.359855659166,2052.553505117506,8729.408182139809,2720.277499641022,nan,nan,nan,nan,nan,nan,nan,nan,8405.85733,289.29684,-8261.62791,2070.65539,8461.30171,2765.26568,nan,nan,nan,nan,nan,nan,nan,nan
42,0.42,8514.15512064674,614.6216288692502,-8553.347333102429,2052.1998545089405,8734.328914665704,2719.3907125140367,nan,nan,nan,nan,nan,nan,nan,nan,8408.41424,283.77924,-8257.93108,2070.49741,8454.2289,2764.00154,nan,nan,nan,nan,nan,nan,nan,nan
