,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,8_person_X,8_person_Y,9_person_X,9_person_Y
0,0.0,6165.7674,-2132.57599,nan,nan,581.70358,-3492.77129,248.6272,3311.93906,6165.7674,-2132.57599,nan,nan,581.70358,-3492.77129,248.6272,3311.93906
1,0.01,6165.7674,-2132.57599,nan,nan,581.70358,-3492.77129,248.6272,3311.93906,6166.35888,-2131.35367,nan,nan,583.68931,-3495.73683,248.06102,3311.74956
2,0.02,6167.394391147357,-2137.3038753419282,nan,nan,576.7073105724543,-3492.964400868083,252.0918214926365,3315.5441117212326,6166.98663,-2130.08509,nan,nan,586.37303,-3499.14158,247.24892,3311.43135
3,0.03,6168.2051485906695,-2142.2377047236673,nan,nan,571.7444245683463,-3492.356319861778,255.8405591616246,3318.8527316584737,6167.61988,-2128.78406,nan,nan,588.23142,-3501.87972,246.45408,3311.06266
4,0.04,6168.8469474342655,-2147.1963430694595,nan,nan,566.7837911323838,-3491.7301282664885,259.70006613053874,3322.031443025821,6168.304,-2127.50173,nan,nan,590.39569,-3504.58118,245.72669,3310.76207
5,0.05,6169.490000077307,-2152.154818974239,nan,nan,561.8255271036957,-3491.0854439857612,263.6108575721804,3325.1468419248354,6168.93402,-2126.19615,nan,nan,591.76962,-3507.07951,244.85471,3310.46354
6,0.06,6170.062937022482,-2157.121884834166,nan,nan,556.8652214104467,-3490.456661487976,267.5267602196359,3328.2558138538902,6169.58304,-2124.93258,nan,nan,593.4132,-3509.63228,244.06477,3310.06257
7,0.07,6170.651202083254,-2162.087158665313,nan,nan,551.9074853408734,-3489.807929598477,271.44742459174074,3331.3587787072697,6170.18713,-2123.69156,nan,nan,594.79891,-3512.22696,243.25627,3309.73151
8,0.08,6171.232946985448,-2167.053200637424,nan,nan,546.9501613392343,-3489.1560563417984,275.3752308888907,3334.452698178114,6170.86906,-2122.48414,nan,nan,596.30664,-3514.57196,242.22297,3309.45205
9,0.09,6171.770852812997,-2172.024182162303,nan,nan,541.989412439175,-3488.5307801223876,279.30426975640876,3337.545052229243,6171.38033,-2121.32584,nan,nan,597.43719,-3516.90161,241.21955,3309.12466
10,0.1,6172.28786332572,-2176.997380341517,nan,nan,537.0300296546563,-3487.894759370666,283.2488890461039,3340.617507055496,6171.97618,-2120.2144,nan,nan,598.47197,-3519.22134,240.15244,3308.73719
11,0.11,6172.7951187684375,-2181.9715829827283,nan,nan,532.0702485139016,-3487.2618525561884,287.19528300394563,3343.6876820878856,6172.46477,-2119.10075,nan,nan,599.48624,-3521.50145,239.07567,3308.73343
12,0.12,6173.289886008708,-2186.9470433009255,nan,nan,527.1110255512119,-3486.6245868295628,291.150850862859,3346.7460285224042,6173.03371,-2118.01542,nan,nan,600.60596,-3523.81299,237.8843,3308.37813
13,0.13,6173.789058945216,-2191.9220635400256,nan,nan,522.150533552093,-3485.9972758009044,295.10762525134476,3349.8028138335803,6173.56099,-2116.99098,nan,nan,601.64056,-3526.48296,236.8568,3307.86599
14,0.14,6174.343031975785,-2196.8912801665574,nan,nan,517.1940777131025,-3485.3388340676142,299.0738807468829,3352.847287079335,6174.05976,-2116.00351,nan,nan,602.59899,-3528.82238,235.68242,3307.46359
