,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,6_person_X,6_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,-4315.75022,-945.10008,594.27134,3164.56327,-3328.63559,2760.0299,6165.36323,-2187.07751,nan,nan,-4315.75022,-945.10008,594.27134,3164.56327,-3328.63559,2760.0299,6165.36323,-2187.07751
1,0.01,nan,nan,-4315.75022,-945.10008,594.27134,3164.56327,-3328.63559,2760.0299,6165.36323,-2187.07751,nan,nan,-4314.64155,-941.27075,598.03244,3164.48573,-3331.10678,2753.2109,6165.44605,-2188.63459
2,0.02,nan,nan,-4317.089126402572,-949.917478638804,592.3419835150182,3169.1760331148653,-3328.8889803071925,2765.023475207426,6168.951373680148,-2183.5953806327007,nan,nan,-4313.37883,-937.43371,601.91758,3164.78398,-3333.43563,2743.88382,6165.45178,-2190.11874
3,0.03,nan,nan,-4318.468577751516,-954.7234243288735,589.0912149422112,3172.97504662972,-3328.1590572101695,2769.969909506235,6171.992058573228,-2179.6262200941233,nan,nan,-4312.2507,-933.44832,605.56811,3164.58819,-3336.64012,2737.37299,6165.76041,-2191.52717
4,0.04,nan,nan,-4319.809685459791,-959.5402106138155,586.265767071995,3177.1001944249742,-3327.291192789212,2774.8940146378136,6174.966609751219,-2175.6072593715594,nan,nan,-4311.15942,-929.44804,609.34467,3164.80141,-3340.10069,2730.97001,6165.79369,-2192.83194
5,0.05,nan,nan,-4321.125859425425,-964.363869608001,583.4639098914804,3181.2414015364334,-3326.5044394366937,2779.83172859898,6177.980151038151,-2171.617451241843,nan,nan,-4309.65919,-925.02964,613.3904,3164.66475,-3343.6845,2724.96151,6165.73188,-2194.01456
6,0.06,nan,nan,-4322.482687563335,-969.1762512849022,580.721838531516,3185.422435458427,-3325.640285073179,2784.756486180427,6180.982088250797,-2167.618904884561,nan,nan,-4308.86604,-920.77696,616.88975,3164.95758,-3345.52676,2718.58643,6165.7943,-2195.15131
7,0.07,nan,nan,-4323.74979017225,-974.0130323403648,577.7574207315594,3189.448876456045,-3324.847796210915,2789.693282854708,6183.972996778518,-2163.612102396441,nan,nan,-4308.16898,-916.32251,620.48646,3164.88689,-3351.80815,2712.77155,6165.8436,-2196.19822
8,0.08,nan,nan,-4324.959057443331,-978.8645962806929,575.2396358611342,3193.7686865613923,-3323.9719215619084,2794.6159694788216,6186.9379018469535,-2159.5860201897335,nan,nan,-4307.43572,-911.33224,624.17641,3164.68986,-3355.87706,2706.9158,6165.8632,-2197.14077
9,0.09,nan,nan,-4326.119470380363,-983.7280767027333,572.5324467845716,3197.9723905595038,-3323.061031671498,2799.532297336842,6189.895645175742,-2155.554673714794,nan,nan,-4306.9363,-906.63664,627.68456,3164.78893,-3360.08944,2701.24073,6165.97744,-2198.08514
10,0.1,nan,nan,-4327.227556626574,-988.6037453615901,569.8545013861536,3202.1947842459203,-3322.200715471462,2804.457726864909,6192.859844445214,-2151.5280718359304,nan,nan,-4306.4623,-901.62694,631.35541,3164.36002,-3364.42789,2695.66929,6166.06291,-2198.98948
11,0.11,nan,nan,-4328.28846213832,-993.4898971700327,567.192164083686,3206.4270366117285,-3321.2216555771433,2809.360934154361,6195.788844161292,-2147.475793382614,nan,nan,-4306.16608,-896.63723,634.69528,3164.13231,-3361.46078,2689.91148,6166.12286,-2199.73974
12,0.12,nan,nan,-4329.297647752875,-998.3869926760827,563.7565747939673,3210.0597664712654,-3320.2666840478455,2814.26888987729,6198.704745231816,-2143.414079342099,nan,nan,-4305.71489,-891.24441,638.20211,3163.76532,-3366.02269,2684.61029,6166.1665,-2200.47626
13,0.13,nan,nan,-4330.273563900637,-1003.2908266529356,561.1509707237931,3214.327181078436,-3319.276113237218,2819.169784639385,6201.61774023814,-2139.3502806151523,nan,nan,-4305.3624,-885.95973,641.51487,3163.12302,-3370.55388,2679.54492,6166.20261,-2201.18949
14,0.14,nan,nan,-4331.212512758931,-1008.2018728797094,558.5501649518754,3218.597521736599,-3318.2117313104686,2824.055180336154,6204.487798766435,-2135.2560451499935,nan,nan,-4305.25118,-880.73906,644.76269,3162.51357,-3375.07175,2674.72287,6166.36724,-2201.85361
15,0.15,nan,nan,-4332.1048012231395,-1013.12161080938,555.9766633082905,3222.8843724793314,-3317.1419613484877,2828.9393990278636,6207.35116431483,-2131.1571260563464,nan,nan,-4305.03569,-875.26418,648.05427,3162.00632,-3379.45721,2670.12102,6166.44744,-2202.43924
16,0.16,nan,nan,-4332.965490129195,-1018.0469752230039,553.4182536324927,3227.1802472366753,-3316.0845778310645,2833.8263142201995,6210.222175123173,-2127.0635583045705,nan,nan,-4304.65071,-869.63604,651.18077,3161.12503,-3383.93969,2665.71565,6166.50538,-2202.96335
17,0.17,nan,nan,-4333.804770059166,-1022.9760328610467,550.8884363687552,3231.4930218206405,-3314.931776274812,2838.69160440393,6213.043374401249,-2122.9355037223995,nan,nan,-4305.22383,-864.82012,654.3111,3160.62009,-3388.34308,2661.4949,6166.61688,-2203.44495
18,0.18,nan,nan,-4334.574009549171,-1027.9165055719336,548.373051398314,3235.814229805739,-3313.848669925252,2843.572882990073,6215.892705078618,-2118.826816013288,nan,nan,-4304.90058,-859.26776,657.2097,3159.75775,-3392.97265,2657.46054,6166.45592,-2203.94693
19,0.19,nan,nan,-4335.341054728716,-1032.8573194413823,545.8946460713111,3240.1567529242825,-3312.6708339465918,2848.4321733093866,6218.6879946299205,-2114.681172960108,nan,nan,-4304.81988,-853.66925,660.05499,3159.1202,-3397.73906,2653.59272,6166.41193,-2204.43272
20,0.2,nan,nan,-4336.074993111735,-1037.8031595570685,543.4438593028115,3244.5149227483425,-3311.5282679296347,2853.2998773777226,6221.493633102884,-2110.542526712961,nan,nan,-4304.29473,-848.0009,662.94339,3158.62721,-3402.5413,2649.93687,6166.39004,-2204.88636
21,0.21,nan,nan,-4336.804607559439,-1042.7496393920321,541.0209167444459,3248.8886339138016,-3310.406615536063,2858.17244301689,6224.31014320645,-2106.411271354537,nan,nan,-4304.10993,-842.20027,665.6482,3158.00919,-3407.3796,2646.44514,6166.35247,-2205.37631
