,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,8_person_X,8_person_Y,9_person_X,9_person_Y
0,0.0,4610.98077,1944.51612,5413.64489,-2086.2685,75.6197,3317.31418,542.07646,-3245.26332,4610.98077,1944.51612,5413.64489,-2086.2685,75.6197,3317.31418,542.07646,-3245.26332
1,0.01,4610.98077,1944.51612,5413.64489,-2086.2685,75.6197,3317.31418,542.07646,-3245.26332,4600.5676,1946.57412,5409.81396,-2083.43872,76.67725,3321.70592,541.91677,-3245.73762
2,0.02,4615.980215120084,1944.441631804462,5417.657347082147,-2089.2518183142147,70.63616890722014,3316.9086952933876,542.07646,-3245.26332,4591.05134,1948.37908,5406.80596,-2082.6753,77.80418,3325.89405,542.18029,-3246.74238
3,0.03,4620.925213176012,1943.7020412238953,5421.983850877586,-2091.758083445451,65.81407111894124,3315.5868129535875,537.0780629340147,-3245.38991688286,4581.34137,1950.41905,5402.82096,-2079.68821,78.93204,3329.92884,542.20545,-3247.48519
4,0.04,4625.848048467502,1942.8270025431127,5426.191126084268,-2094.4597191231906,60.989595834969975,3314.2736342778735,532.1402897145186,-3244.603535529554,4572.75618,1952.8291,5399.41046,-2076.03044,80.12845,3333.67696,541.84783,-3247.76126
5,0.05,4630.748388439889,1941.833690832207,5430.238669111605,-2097.3952591828483,56.15587228521073,3312.9949174818225,527.20709067028,-3243.7889514700964,4562.57918,1954.82838,5395.35773,-2073.41061,81.00377,3337.55637,542.06471,-3248.42097
6,0.06,4635.655776785717,1940.875807946238,5434.351659164835,-2100.2383759272043,51.34443119255766,3311.6347577074102,522.2677843684054,-3243.012257671832,4553.05789,1957.09243,5391.2569,-2070.2248,82.12453,3341.13161,542.62016,-3249.90162
7,0.07,4640.555122885479,1939.8776056647646,5438.434642077193,-2103.1244200255155,46.54358182826738,3310.237673106753,517.3349870407089,-3242.195244499434,4543.34041,1959.51311,5387.08531,-2067.05136,83.10794,3344.55966,542.55237,-3250.54954
8,0.08,4645.448610042779,1938.851066117869,5442.508795979406,-2106.022914459024,41.72539639969438,3308.901600812344,512.4004316472756,-3241.38891759976,4533.70004,1961.94052,5382.81368,-2063.84527,84.21748,3347.8874,542.73928,-3251.33869
9,0.09,4650.337896456074,1937.8047017603117,5446.577412457015,-2108.9291766560955,36.919076132281575,3307.523455142592,507.4699909868123,-3240.5578009451015,4524.2028,1964.47249,5378.4321,-2060.62258,85.22748,3351.05494,542.94619,-3252.13619
10,0.1,4655.221841175526,1936.7336816963793,5450.643724770488,-2111.8386618630175,32.11582095299765,3306.1346644158507,502.538559281753,-3239.7325850107327,4514.56943,1967.0354,5373.90938,-2057.39363,86.37106,3354.1878,543.02018,-3252.83158
