,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,6_person_X,6_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,6250.18063,-1780.58993,6029.60348,-2045.38539,nan,nan,971.73476,-3540.64096,nan,nan,6250.18063,-1780.58993,6029.60348,-2045.38539,nan,nan,971.73476,-3540.64096
1,0.01,nan,nan,6250.18063,-1780.58993,6029.60348,-2045.38539,-2497.55705,-3087.11404,971.73476,-3540.64096,nan,nan,6249.81895,-1780.15457,6022.57341,-2045.46673,-2497.55705,-3087.11404,967.8904,-3540.37044
2,0.02,nan,nan,6250.18063,-1780.58993,6030.753958317504,-2050.2512300755625,-2497.55705,-3087.11404,973.488240963876,-3545.3234064235403,nan,nan,6249.33643,-1779.64179,6015.83163,-2045.58778,-2500.66583,-3089.07116,962.52998,-3538.41837
3,0.03,nan,nan,6254.845070173853,-1782.3907625476143,6033.340030635167,-2054.530509216705,-2498.2197390035913,-3082.158150242901,976.1581683184835,-3549.550874687303,nan,nan,6249.01727,-1779.09816,6009.70771,-2045.75258,-2503.54602,-3091.71268,957.35585,-3537.11711
4,0.04,nan,nan,6259.510950094773,-1784.1878614774344,6035.992369615337,-2058.7690346600953,-2498.1432762460277,-3077.1587349324163,978.8414754245005,-3553.769863070174,nan,nan,6248.45323,-1778.53121,6001.27547,-2045.47688,-2507.70162,-3094.7823,952.05533,-3535.57983
5,0.05,nan,nan,6264.093885608002,-1786.1870368278176,6038.682624756776,-2062.983595998356,-2498.0697394285844,-3072.159275728014,981.5540997060418,-3557.970061816328,nan,nan,6247.89551,-1777.9895,5994.92077,-2045.63238,-2511.08803,-3097.09347,947.43987,-3535.21817
6,0.06,nan,nan,6268.625698555445,-1788.2995404158364,6041.401376483883,-2067.179831102155,-2497.9833129321933,-3067.1600227377444,984.2680658440947,-3562.16939364431,nan,nan,6247.3036,-1777.41419,5988.50063,-2045.72171,-2515.15606,-3099.40487,941.43857,-3532.5312
7,0.07,nan,nan,6273.089949193607,-1790.5513099954476,6044.151552074635,-2071.355538733207,-2497.897275609665,-3062.1607630346352,987.0003251065099,-3566.3568462497665,nan,nan,6248.05389,-1777.30109,5981.85078,-2045.73586,-2520.43036,-3103.17746,935.60233,-3530.40762
8,0.08,nan,nan,6277.499458613703,-1792.9084749608435,6046.912799925334,-2075.523932945252,-2497.7327097353,-3057.1634719611643,989.5804851957611,-3570.639692723064,nan,nan,6247.28663,-1776.6117,5975.46723,-2045.71345,-2520.7811021135644,-3102.448924258675,929.74823,-3528.3575
9,0.09,nan,nan,6281.902681190673,-1795.2773630834993,6049.717577291427,-2079.663162816454,-2497.643016751366,-3052.1642765090305,992.3558978406552,-3574.7986691176307,nan,nan,6245.61863,-1775.61749,5969.17481,-2045.64962,-2521.131844227129,-3101.72038851735,923.63075,-3525.87158
10,0.1,nan,nan,6286.31159786953,-1797.6356365449326,6052.568127283535,-2083.7710046759335,-2497.594204124851,-3047.1645147819586,995.252158639,-3578.874411183558,nan,nan,6245.05039,-1774.9805,5962.98312,-2045.56121,-2521.482586340694,-3100.991852776025,917.43504,-3523.31033
