,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,8_person_X,8_person_Y,9_person_X,9_person_Y
0,0.0,6309.98446,-2032.84106,nan,nan,nan,nan,5497.45036,2411.75963,6309.98446,-2032.84106,nan,nan,nan,nan,5497.45036,2411.75963
1,0.01,6309.98446,-2032.84106,nan,nan,nan,nan,5497.45036,2411.75963,6310.66088,-2031.89187,nan,nan,nan,nan,5496.78758,2410.90007
2,0.02,6307.02818040275,-2036.8734799859246,nan,nan,nan,nan,5500.46766399245,2415.7465933328067,6311.33621,-2031.0064,nan,nan,nan,nan,5496.13482,2409.93813
3,0.03,6304.0104530294875,-2040.8601228719456,nan,nan,nan,nan,5503.414832941382,2419.78567679152,6311.96248,-2030.15792,nan,nan,nan,nan,5495.94825,2408.98986
4,0.04,6300.966336536101,-2044.8266521829044,nan,nan,nan,nan,5506.160924840288,2423.964071134179,6312.54147,-2029.35875,nan,nan,nan,nan,5495.76729,2408.0295
5,0.05,6297.909559303562,-2048.783432812486,nan,nan,nan,nan,5508.788156244771,2428.218205023386,6313.12476,-2028.68901,nan,nan,nan,nan,5495.84667,2407.13777
6,0.06,6294.823443736195,-2052.717373674377,nan,nan,nan,nan,5511.283554505808,2432.550985599277,6313.61547,-2028.02305,nan,nan,nan,nan,5495.98244,2406.20954
7,0.07,6291.734602985257,-2056.6491751463927,nan,nan,nan,nan,5513.673008980267,2436.9430816039753,6314.18647,-2027.468,nan,nan,nan,nan,5496.30517,2405.35355
8,0.08,6288.6160108495105,-2060.557420672311,nan,nan,nan,nan,5515.953926098913,2441.392510454723,6314.73643,-2026.95899,nan,nan,nan,nan,5497.54396,2403.32544
9,0.09,6285.477547650128,-2064.4497270253773,nan,nan,nan,nan,5517.8959390531345,2445.999959389398,6315.20402,-2026.50184,nan,nan,nan,nan,5497.3212,2402.91226
10,0.1,6282.327900817905,-2068.3329891633575,nan,nan,nan,nan,5519.975791782519,2450.5468498239775,6315.6994,-2026.09239,nan,nan,nan,nan,5496.89921,2402.4821
11,0.11,6279.160140628564,-2072.201489568272,nan,nan,nan,nan,5522.0909463832795,2455.077426058286,6316.19822,-2025.71213,nan,nan,nan,nan,5496.73303,2402.07245
12,0.12,6275.976000498002,-2076.0565189623157,nan,nan,nan,nan,5524.186061118676,2459.617304277526,6316.66608,-2025.37717,nan,nan,nan,nan,5496.74497,2401.75669
13,0.13,6272.777653455386,-2079.899769695093,nan,nan,nan,nan,5526.257294574258,2464.168127496733,6317.2573,-2025.13476,nan,nan,nan,nan,5496.67232,2401.42396
14,0.14,6269.551220712391,-2083.7194727928386,nan,nan,nan,nan,5528.32202981547,2468.7219026760426,6317.75398,-2024.84014,nan,nan,nan,nan,5498.20612,2399.76507
15,0.15,6266.314923057244,-2087.530821305805,nan,nan,nan,nan,5530.145553420459,2473.3775188180853,6318.28657,-2024.63041,nan,nan,nan,nan,5498.55065,2399.01548
16,0.16,6263.0587880749645,-2091.3252362774674,nan,nan,nan,nan,5531.996460117459,2478.022316380843,6318.8185,-2024.43756,nan,nan,nan,nan,5499.0023,2398.26641
17,0.17,6259.786039005186,-2095.1053306580698,nan,nan,nan,nan,5533.803522774018,2482.684346470329,6319.27651,-2024.23672,nan,nan,nan,nan,5499.21888,2397.48509
18,0.18,6256.502908962624,-2098.8764123495253,nan,nan,nan,nan,5535.590323815039,2487.3541796621903,6319.65728,-2024.03354,nan,nan,nan,nan,5499.15119,2396.69584
19,0.19,6253.212364098761,-2102.641025808953,nan,nan,nan,nan,5537.373633297618,2492.0253473202115,6320.03853,-2023.76714,nan,nan,nan,nan,5499.25805,2395.97029
20,0.2,6249.915561002812,-2106.4001599308676,nan,nan,nan,nan,5539.13098155419,2496.706343699736,6320.29159,-2023.54197,nan,nan,nan,nan,5499.13435,2395.24138
21,0.21,6246.61612235733,-2110.1569810105434,nan,nan,nan,nan,5540.886039404889,2501.388199308434,6320.3923,-2023.2961,nan,nan,nan,nan,5499.00934,2394.55851
22,0.22,6243.320101193905,-2113.916800752268,nan,nan,nan,nan,5542.63287119458,2506.0731303323155,6320.56111,-2023.07572,nan,nan,nan,nan,5498.63256,2393.8524
23,0.23,6240.019565438143,-2117.672658007934,nan,nan,nan,nan,5544.38786626246,2510.755009475535,6320.47511,-2022.82062,nan,nan,nan,nan,5498.31106,2393.25069
24,0.24,6236.728729543054,-2121.437017065143,nan,nan,nan,nan,5546.142133038255,2515.4371615533028,6320.44612,-2022.5243,nan,nan,nan,nan,5498.01449,2392.78179
25,0.25,6233.440729676075,-2125.2038535196157,nan,nan,nan,nan,5547.897534249979,2520.1188884340463,6320.41119,-2022.2281,nan,nan,nan,nan,5497.69511,2392.43635
26,0.26,6230.1558378732425,-2128.9734006865424,nan,nan,nan,nan,5549.657609918148,2524.7988599769424,6320.18635,-2021.93548,nan,nan,nan,nan,5497.34138,2392.24583
