,Time,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,1_person_X,1_person_Y,10_person_X,10_person_Y,3_person_X,3_person_Y,6_person_X,6_person_Y,8_person_X,8_person_Y
0,0.0,nan,nan,516.31914,-3508.99567,nan,nan,-3055.98703,-2152.03069,822.83686,3341.72026,nan,nan,516.31914,-3508.99567,nan,nan,-3055.98703,-2152.03069,822.83686,3341.72026
1,0.01,nan,nan,516.31914,-3508.99567,nan,nan,-3055.98703,-2152.03069,822.83686,3341.72026,nan,nan,514.84374,-3507.91694,nan,nan,-3058.02174,-2152.1218,819.76648,3342.92564
2,0.02,nan,nan,520.3802174747512,-3511.9124575726673,nan,nan,-3055.98703,-2152.03069,827.7876868273341,3341.0207503676515,nan,nan,515.14425,-3508.2234,nan,nan,-3059.88367,-2152.05361,814.99705,3341.32426
3,0.03,nan,nan,524.5007898717386,-3514.7445739405425,nan,nan,-3055.98703,-2152.03069,832.7874518238624,3341.069226954686,nan,nan,514.65439,-3507.82049,nan,nan,-3061.98774,-2151.98704,811.41152,3341.49643
4,0.04,nan,nan,528.6167227670842,-3517.5834287098132,nan,nan,-3055.98703,-2152.03069,837.7842913055952,3340.8914765853556,nan,nan,514.1698,-3507.46681,nan,nan,-3064.20341,-2151.83794,807.83286,3341.65625
5,0.05,nan,nan,532.7405084779795,-3520.4108641928287,nan,nan,-3055.98703,-2152.03069,842.7789914867054,3340.6613242427275,nan,nan,513.62306,-3507.04317,nan,nan,-3066.4805,-2151.56142,804.40237,3341.21658
6,0.06,nan,nan,536.8647051646496,-3523.23770017846,nan,nan,-3055.98703,-2152.03069,847.7774230638447,3340.5360973739785,nan,nan,512.97061,-3506.50226,nan,nan,-3068.94499,-2151.29517,800.56977,3340.79558
7,0.07,nan,nan,540.9841791367841,-3526.0714140300875,nan,nan,-3055.98703,-2152.03069,852.7766758859748,3340.449661152265,nan,nan,512.76858,-3506.5948,nan,nan,-3071.44305,-2150.95953,797.49097,3341.06666
8,0.08,nan,nan,545.1391037631304,-3528.8528887018006,nan,nan,-3055.98703,-2152.03069,857.773856825172,3340.281784230311,nan,nan,512.42368,-3506.32602,nan,nan,-3074.13182,-2150.6722,793.90832,3340.68721
9,0.09,nan,nan,549.2856935557852,-3531.6467736477944,nan,nan,-3055.98703,-2152.03069,862.7727377569099,3340.1760041267617,nan,nan,512.09002,-3506.13713,nan,nan,-3076.95627,-2150.41641,790.37093,3340.59943
10,0.1,nan,nan,553.4394166095161,-3534.4300423723166,nan,nan,-3055.98703,-2152.03069,867.771269634374,3340.0548469149453,nan,nan,511.77123,-3505.77252,nan,nan,-3079.91998,-2150.09511,787.05097,3340.34363
11,0.11,nan,nan,557.5824579674635,-3537.2291865819525,nan,nan,-3055.98703,-2152.03069,872.7701890555381,3339.9509016374745,nan,nan,511.39636,-3505.58296,nan,nan,-3083.05721,-2149.75603,783.55727,3339.84625
12,0.12,nan,nan,561.737697017237,-3540.010191515288,nan,nan,-3055.98703,-2152.03069,877.7696804763342,3339.8795887116726,nan,nan,511.49811,-3505.72289,nan,nan,-3086.28287,-2149.33747,780.17679,3339.49232
13,0.13,nan,nan,565.8986875949846,-3542.7825835171334,nan,nan,-3055.98703,-2152.03069,882.7692349925494,3339.8128456266986,nan,nan,511.13513,-3505.52216,nan,nan,-3089.6119,-2148.86217,776.9091,3339.03642
14,0.14,nan,nan,570.0628919998318,-3545.5501459237744,nan,nan,-3055.98703,-2152.03069,887.7689965820513,3339.764018911247,nan,nan,510.88839,-3505.31326,nan,nan,-3093.13167,-2148.44668,773.63798,3338.4747
15,0.15,nan,nan,574.2253810110592,-3548.32028765867,nan,nan,-3055.98703,-2152.03069,892.7689188438188,3339.7361374428324,nan,nan,510.54036,-3505.14842,nan,nan,-3096.64286,-2148.02334,770.48236,3337.92724
16,0.16,nan,nan,578.3948443662116,-3551.079920846259,nan,nan,-3055.98703,-2152.03069,897.7688995856797,3339.722260086439,nan,nan,510.24828,-3505.04695,nan,nan,-3100.25544,-2147.66285,767.12318,3337.03813
17,0.17,nan,nan,582.5697100510788,-3553.8313743736367,nan,nan,-3055.98703,-2152.03069,902.7688459596508,3339.745417318876,nan,nan,510.0603,-3505.03629,nan,nan,-3103.78451,-2147.31086,763.72042,3335.28195
18,0.18,nan,nan,586.7499886854051,-3556.5745970294547,nan,nan,-3055.98703,-2152.03069,907.7677409977246,3339.8505286804025,nan,nan,509.74612,-3504.99447,nan,nan,-3107.202,-2147.00353,761.22477,3335.34868
19,0.19,nan,nan,590.9374441947054,-3559.3068518414425,nan,nan,-3055.98703,-2152.03069,912.7675876228609,3339.889691483073,nan,nan,509.58198,-3505.16492,nan,nan,-3110.84082,-2146.84038,758.43363,3334.47005
20,0.2,nan,nan,595.1356098730902,-3562.0226215181333,nan,nan,-3055.98703,-2152.03069,917.7668577691663,3339.975119840541,nan,nan,509.27166,-3505.18321,nan,nan,-3114.26774,-2146.69711,755.73034,3333.29415
21,0.21,nan,nan,599.3393979594114,-3564.7296800186655,nan,nan,-3055.98703,-2152.03069,922.7653657970767,3340.0972570376416,nan,nan,508.89056,-3505.32573,nan,nan,-3117.61023,-2146.58837,753.23518,3332.11188
22,0.22,nan,nan,603.5563212402405,-3567.416231347712,nan,nan,-3055.98703,-2152.03069,927.7631522961001,3340.246018962137,nan,nan,508.72641,-3505.55493,nan,nan,-3120.88594,-2146.55881,750.80924,3330.69676
23,0.23,nan,nan,607.7806726559166,-3570.091087440453,nan,nan,-3055.98703,-2152.03069,932.75969746154,3340.4318587041703,nan,nan,508.3236,-3505.802,nan,nan,-3124.39961,-2146.7034,748.62842,3329.34763
24,0.24,nan,nan,612.0192720496381,-3572.7433082418843,nan,nan,-3055.98703,-2152.03069,937.7551837455783,3340.6442658273686,nan,nan,507.9302,-3506.05217,nan,nan,-3127.67168,-2146.85882,746.52209,3327.7828
25,0.25,nan,nan,616.2685896592272,-3575.37832244542,nan,nan,-3055.98703,-2152.03069,942.7489485567987,3340.8938915676613,nan,nan,507.66665,-3506.425,nan,nan,-3130.99998,-2147.12538,744.81729,3326.17284
26,0.26,nan,nan,620.5294383456652,-3577.9946497321484,nan,nan,-3055.98703,-2152.03069,947.7408863165683,3341.1777179275823,nan,nan,507.39098,-3506.78627,nan,nan,-3134.10764,-2147.45489,743.29874,3324.63923
27,0.27,nan,nan,624.800622341749,-3580.5940702967355,nan,nan,-3055.98703,-2152.03069,952.7311558945961,3341.489502370123,nan,nan,507.07506,-3507.23347,nan,nan,-3137.27764,-2147.94891,741.97447,3322.62808
28,0.28,nan,nan,629.0852085219667,-3583.171340415347,nan,nan,-3055.98703,-2152.03069,957.7179970203069,3341.8520152484034,nan,nan,506.83,-3507.67268,nan,nan,-3140.32607,-2148.52681,740.32385,3319.78434
29,0.29,nan,nan,633.3795816893598,-3585.732269758217,nan,nan,-3055.98703,-2152.03069,962.698972366268,3342.287772753133,nan,nan,506.5033,-3508.06067,nan,nan,-3143.35,-2149.31354,739.4417,3317.79998
30,0.3,nan,nan,637.6839931416893,-3588.2762906011067,nan,nan,-3055.98703,-2152.03069,967.6780440103587,3342.744768992737,nan,nan,506.07906,-3508.37598,nan,nan,-3146.38548,-2150.30993,738.74917,3316.06145
31,0.31,nan,nan,641.9977370628966,-3590.804454634995,nan,nan,-3055.98703,-2152.03069,972.6546494314047,3343.227882316105,nan,nan,505.86086,-3508.8288,nan,nan,-3149.41955,-2151.45821,738.16245,3313.79354
32,0.32,nan,nan,646.3209867976714,-3593.3163287820753,nan,nan,-3055.98703,-2152.03069,977.6259141992891,3343.763164118141,nan,nan,505.47085,-3509.14441,nan,nan,-3152.48874,-2152.87035,737.71239,3311.70923
33,0.33,nan,nan,650.6524035227928,-3595.8140936135474,nan,nan,-3055.98703,-2152.03069,982.5934269727265,3344.3322131896066,nan,nan,505.20913,-3509.45077,nan,nan,-3155.42851,-2154.42066,737.38227,3309.7089
34,0.34,nan,nan,654.989963573867,-3598.301174795038,nan,nan,-3055.98703,-2152.03069,987.5570391473801,3344.9343379106,nan,nan,504.91421,-3509.85406,nan,nan,-3158.37433,-2156.14953,737.17563,3307.57366
35,0.35000000000000003,nan,nan,659.3372995033551,-3600.7711282999007,nan,nan,-3055.98703,-2152.03069,992.5157236778621,3345.5757798231366,nan,nan,504.58506,-3510.18989,nan,nan,-3161.06173,-2157.98735,736.99455,3305.48592
36,0.36,nan,nan,663.6917393871847,-3603.2285361411255,nan,nan,-3055.98703,-2152.03069,997.4699083162172,3346.251097947494,nan,nan,504.34251,-3510.4751,nan,nan,-3163.73956,-2159.98343,736.8866,3303.18134
37,0.37,nan,nan,668.0512443172554,-3605.676947210511,nan,nan,-3055.98703,-2152.03069,1002.4181786852465,3346.968468392234,nan,nan,504.00082,-3510.78382,nan,nan,-3166.48987,-2162.23459,736.75926,3300.80305
38,0.38,nan,nan,672.4185538059809,-3608.11140974456,nan,nan,-3055.98703,-2152.03069,1007.3605644841205,3347.725318849781,nan,nan,503.67528,-3510.92145,nan,nan,-3168.93478,-2164.52225,736.81985,3298.47781
39,0.39,nan,nan,676.7887849767602,-3610.5406235091245,nan,nan,-3055.98703,-2152.03069,1012.2971844149065,3348.518907949357,nan,nan,503.46454,-3511.28944,nan,nan,-3171.5158,-2167.08106,737.04253,3296.17171
40,0.4,nan,nan,681.1670559263232,-3612.9553167592526,nan,nan,-3055.98703,-2152.03069,1017.2277789003974,3349.349111550678,nan,nan,503.0846,-3511.38851,nan,nan,-3174.12845,-2169.92171,737.19587,3293.25072
41,0.41000000000000003,nan,nan,685.5481589418271,-3615.3648678310383,nan,nan,-3055.98703,-2152.03069,1022.1487144427679,3350.2347714108028,nan,nan,502.8004,-3511.60457,nan,nan,-3176.55749,-2172.84215,737.58006,3290.57491
42,0.42,nan,nan,689.9348289218321,-3617.764269107716,nan,nan,-3055.98703,-2152.03069,1027.0625629589267,3351.158942801965,nan,nan,502.35886,-3511.76579,nan,nan,-3178.76217,-2175.88586,738.08531,3287.94657
43,0.43,nan,nan,694.3270915656317,-3620.1534172546258,nan,nan,-3055.98703,-2152.03069,1031.968740246411,3352.123009409505,nan,nan,502.03304,-3511.91049,nan,nan,-3181.23177,-2179.24389,738.68463,3285.01875
44,0.44,nan,nan,698.7229426203814,-3622.535956552194,nan,nan,-3055.98703,-2152.03069,1036.8649278871442,3353.1365904801314,nan,nan,501.67124,-3512.07941,nan,nan,-3183.39489,-2182.55464,739.46787,3282.07083
45,0.45,nan,nan,703.1238469107495,-3624.909148796202,nan,nan,-3055.98703,-2152.03069,1041.75140077633,3354.1960161279485,nan,nan,501.32665,-3512.2157,nan,nan,-3185.38887,-2185.92161,740.32452,3279.00794
46,0.46,nan,nan,707.528581818534,-3627.275223687693,nan,nan,-3055.98703,-2152.03069,1046.6272368892542,3355.3033653049943,nan,nan,501.01043,-3512.37197,nan,nan,-3187.7897,-2189.55069,741.39384,3275.83718
47,0.47000000000000003,nan,nan,711.9374930095058,-3629.633507408988,nan,nan,-3055.98703,-2152.03069,1051.4914224783608,3356.4608187834233,nan,nan,500.46649,-3512.40091,nan,nan,-3189.82264,-2193.11136,742.66699,3272.75255
48,0.48,nan,nan,716.3505098043888,-3631.9840994127353,nan,nan,-3055.98703,-2152.03069,1056.3444021600799,3357.6643918841623,nan,nan,500.16894,-3512.46051,nan,nan,-3191.88262,-2196.7352,743.97011,3269.19923
49,0.49,nan,nan,720.7657484487906,-3634.3305153419733,nan,nan,-3055.98703,-2152.03069,1061.1823230695175,3358.927135434542,nan,nan,499.70863,-3512.46978,nan,nan,-3193.99844,-2200.4955,745.45073,3265.92728
50,0.5,nan,nan,725.1847085175248,-3636.669915245994,nan,nan,-3055.98703,-2152.03069,1066.0081387193084,3360.235379797891,nan,nan,499.15605,-3512.48577,nan,nan,-3195.93801,-2204.29879,747.08967,3262.52254
51,0.51,nan,nan,729.6079631053307,-3639.0011850397877,nan,nan,-3055.98703,-2152.03069,1070.8193411910922,3361.5963833891797,nan,nan,498.58033,-3512.41627,nan,nan,-3197.84311,-2208.13469,748.53883,3258.84767
52,0.52,nan,nan,734.0338823032429,-3641.3273920928145,nan,nan,-3055.98703,-2152.03069,1075.614709270931,3363.0121676166887,nan,nan,498.17405,-3512.40724,nan,nan,-3199.84113,-2212.07673,750.0876,3255.26133
53,0.53,nan,nan,738.4624334577304,-3643.6485846035916,nan,nan,-3055.98703,-2152.03069,1080.3950762552065,3364.4778045074795,nan,nan,497.72076,-3512.44043,nan,nan,-3201.46231,-2215.95924,751.71638,3251.53159
54,0.54,nan,nan,742.8948706006231,-3645.9623479826573,nan,nan,-3055.98703,-2152.03069,1085.1585372363204,3365.9974885145693,nan,nan,497.34769,-3512.39608,nan,nan,-3203.37825,-2220.02503,753.17678,3247.94317
55,0.55,nan,nan,747.3288940951105,-3648.2730698720966,nan,nan,-3055.98703,-2152.03069,1089.9072078649356,3367.5627767503033,nan,nan,496.81247,-3512.23534,nan,nan,-3205.19768,-2224.16926,754.83184,3244.40733
56,0.56,nan,nan,751.7649836560635,-3650.579822873006,nan,nan,-3055.98703,-2152.03069,1094.6397875113305,3369.176062183985,nan,nan,496.2991,-3512.11858,nan,nan,-3206.81659,-2228.27332,756.27098,3240.71102
57,0.5700000000000001,nan,nan,756.203764261976,-3652.8813933656425,nan,nan,-3055.98703,-2152.03069,1099.3556190629429,3370.837667665685,nan,nan,495.86812,-3512.01346,nan,nan,-3208.37595,-2232.45372,757.664,3236.91486
58,0.58,nan,nan,760.6445449116874,-3655.179102490216,nan,nan,-3055.98703,-2152.03069,1104.054118133199,3372.5476695624097,nan,nan,495.51754,-3511.87933,nan,nan,-3209.78638,-2236.63387,759.0471,3233.18117
59,0.59,nan,nan,765.0865565589112,-3657.4744309037396,nan,nan,-3055.98703,-2152.03069,1108.736026451689,3374.302586796143,nan,nan,495.25253,-3511.82677,nan,nan,-3210.93337,-2240.79463,760.35488,3229.75661
60,0.6,nan,nan,769.5307360009917,-3659.7655592472834,nan,nan,-3055.98703,-2152.03069,1113.4039433474898,3376.0943880836458,nan,nan,494.79519,-3511.57176,nan,nan,-3212.35172,-2245.11752,761.54405,3226.00145
61,0.61,nan,nan,773.9756749836004,-3662.055213684286,nan,nan,-3055.98703,-2152.03069,1118.0540516083524,3377.9319117330874,nan,nan,494.5187,-3511.37122,nan,nan,-3213.78435,-2249.50876,762.76535,3222.539
62,0.62,nan,nan,778.421377574171,-3664.343385110599,nan,nan,-3055.98703,-2152.03069,1122.689813089514,3379.8053352009074,nan,nan,494.26338,-3511.23553,nan,nan,-3215.33305,-2254.03052,764.01892,3219.15344
63,0.63,nan,nan,782.8688375792656,-3666.6281388179127,nan,nan,-3055.98703,-2152.03069,1127.310612690305,3381.715364271191,nan,nan,494.07192,-3511.05444,nan,nan,-3215.99816,-2258.28133,765.27629,3215.93208
64,0.64,nan,nan,787.3167637232427,-3668.9119849199355,nan,nan,-3055.98703,-2152.03069,1131.9176182785545,3383.6584287348255,nan,nan,493.89487,-3510.93266,nan,nan,-3217.27965,-2262.88173,766.4857,3212.3423
65,0.65,nan,nan,791.7662910661489,-3671.1927098978163,nan,nan,-3055.98703,-2152.03069,1136.5072485669639,3385.642186234046,nan,nan,493.68556,-3510.69813,nan,nan,-3218.13879,-2267.38935,767.66966,3209.33859
66,0.66,nan,nan,796.2160397152418,-3673.473003071927,nan,nan,-3055.98703,-2152.03069,1141.0861942523482,3387.650483127013,nan,nan,493.41732,-3510.50625,nan,nan,-3218.71753,-2271.88233,768.80448,3206.2178
67,0.67,nan,nan,800.6674887421885,-3675.749975087674,nan,nan,-3055.98703,-2152.03069,1145.6513307810355,3389.6899753369626,nan,nan,493.19479,-3510.30426,nan,nan,-3219.71413,-2276.63972,769.89678,3203.13226
68,0.68,nan,nan,805.119835122515,-3678.0251919365905,nan,nan,-3055.98703,-2152.03069,1150.2036660699227,3391.7578833178827,nan,nan,492.93667,-3510.07901,nan,nan,-3220.37376,-2281.46834,771.00485,3200.29898
69,0.6900000000000001,nan,nan,809.5732910937502,-3680.298236131557,nan,nan,-3055.98703,-2152.03069,1154.7451846728488,3393.849439862487,nan,nan,492.7287,-3509.935,nan,nan,-3220.99467,-2286.33271,772.03319,3197.38988
70,0.7000000000000001,nan,nan,814.0285062007373,-3682.5678304456305,nan,nan,-3055.98703,-2152.03069,1159.2748813841124,3395.9664773453783,nan,nan,492.63256,-3509.82637,nan,nan,-3221.34247,-2291.22265,772.95614,3194.82749
71,0.71,nan,nan,818.4849190099652,-3684.8350721340594,nan,nan,-3055.98703,-2152.03069,1163.7965790764988,3398.100546223992,nan,nan,492.31917,-3509.72904,nan,nan,-3221.78181,-2296.31003,773.98149,3192.09571
72,0.72,nan,nan,822.9442214491906,-3687.0966250862402,nan,nan,-3055.98703,-2152.03069,1168.306845609889,3400.258669435901,nan,nan,492.04481,-3509.66153,nan,nan,-3222.41276,-2301.63345,775.00684,3189.53456
73,0.73,nan,nan,827.4058114694333,-3689.3536617477216,nan,nan,-3055.98703,-2152.03069,1172.808306730124,3402.4350994906035,nan,nan,491.97544,-3509.70422,nan,nan,-3222.63404,-2306.95897,776.02408,3187.22473
74,0.74,nan,nan,831.8695839510005,-3691.606379047518,nan,nan,-3055.98703,-2152.03069,1177.3026807825693,3404.626127075256,nan,nan,491.8019,-3509.73583,nan,nan,-3223.09935,-2312.47144,777.03797,3184.69304
75,0.75,nan,nan,836.3361525564985,-3693.8535472415747,nan,nan,-3055.98703,-2152.03069,1181.7875026408321,3406.836641246133,nan,nan,491.51158,-3509.69036,nan,nan,-3222.98319,-2317.89852,777.92722,3182.42176
76,0.76,nan,nan,840.8052347343834,-3696.0957123753933,nan,nan,-3055.98703,-2152.03069,1186.266829884548,3409.0582684524175,nan,nan,491.34374,-3509.78672,nan,nan,-3222.83942,-2323.42126,779.00939,3180.33819
77,0.77,nan,nan,845.2776148828967,-3698.331291899182,nan,nan,-3055.98703,-2152.03069,1190.7399288741708,3411.2924093228726,nan,nan,491.12889,-3509.81453,nan,nan,-3222.61594,-2329.046,779.88814,3178.35046
78,0.78,nan,nan,849.7526110364249,-3700.5616303098063,nan,nan,-3055.98703,-2152.03069,1195.2091121480587,3413.5343729408646,nan,nan,490.93505,-3509.87553,nan,nan,-3222.07432,-2334.58983,780.90219,3176.46341
79,0.79,nan,nan,854.2306768260094,-3702.7857990948028,nan,nan,-3055.98703,-2152.03069,1199.6737173482036,3415.7854394451774,nan,nan,490.83564,-3509.94591,nan,nan,-3221.52966,-2340.24681,781.89074,3174.73653
80,0.8,nan,nan,858.7113299421944,-3705.004751021371,nan,nan,-3055.98703,-2152.03069,1204.1356253733786,3418.041847381451,nan,nan,490.7167,-3509.95361,nan,nan,-3220.7621,-2345.92705,782.80616,3173.12972
81,0.81,nan,nan,863.194387575647,-3707.2188409597297,nan,nan,-3055.98703,-2152.03069,1208.5960681007691,3420.3011505208437,nan,nan,490.62818,-3510.09381,nan,nan,-3219.46813,-2351.61015,783.74823,3171.4807
82,0.8200000000000001,nan,nan,867.681225454934,-3709.425260195731,nan,nan,-3059.8757517127983,-2148.887786336123,1213.0544668494767,3422.5644844770954,nan,nan,490.4679,-3510.20482,nan,nan,-3218.39536,-2357.49638,784.65736,3169.87514
83,0.8300000000000001,nan,nan,872.1715519306332,-3711.624571029068,nan,nan,-3063.1662680305362,-2145.1231479255052,1217.5122408288842,3424.829048706372,nan,nan,490.42973,-3510.21429,nan,nan,-3216.82236,-2363.39212,785.53207,3168.57913
84,0.84,nan,nan,876.6637951016754,-3713.8199642267036,nan,nan,-3066.460972722475,-2141.3621745152145,1221.9721767991366,3427.08935203585,nan,nan,490.16203,-3510.30636,nan,nan,-3214.80054,-2369.20254,786.47654,3167.39688
85,0.85,nan,nan,881.1608493159468,-3716.0054855361177,nan,nan,-3069.741613404512,-2137.5889270126822,1226.434095737346,3429.345738392139,nan,nan,490.11028,-3510.32624,nan,nan,-3213.40967,-2375.05006,787.37321,3166.29976
86,0.86,nan,nan,885.6600411022482,-3718.186602972222,nan,nan,-3073.0174439025045,-2133.8115026853898,1230.899609296878,3431.595002416134,nan,nan,490.06316,-3510.34592,nan,nan,-3211.1682,-2380.96458,788.20908,3165.20462
87,0.87,nan,nan,890.1623511046239,-3720.3612764287454,nan,nan,-3076.2798961540507,-2130.022517952459,1235.3697283931597,3433.835099571406,nan,nan,489.9441,-3510.36688,nan,nan,-3209.07393,-2387.03455,788.98735,3164.21039
88,0.88,nan,nan,894.668355074557,-3722.528285478784,nan,nan,-3079.538459608769,-2126.2301882975403,1239.8463669712128,3436.0621395444387,nan,nan,489.87254,-3510.39851,nan,nan,-3207.0762,-2393.18764,789.67224,3163.3406
89,0.89,nan,nan,899.1778442806879,-3724.688032477807,nan,nan,-3082.7984837388954,-2122.4391142187346,1244.3317535545107,3438.2715075985143,nan,nan,489.92519,-3510.37093,nan,nan,-3205.21299,-2399.46667,790.47702,3162.62374
90,0.9,nan,nan,903.6899087992219,-3726.8423940492676,nan,nan,-3086.042510480553,-2118.6343421494234,1248.8262484481859,3440.4622872886534,nan,nan,489.70563,-3510.27971,nan,nan,-3203.13926,-2405.82906,791.21036,3162.09929
91,0.91,nan,nan,908.2063039709236,-3728.9876620169184,nan,nan,-3089.290807009822,-2114.833214730099,1253.3331014298135,3442.627530046867,nan,nan,489.66773,-3510.3039,nan,nan,-3201.17215,-2412.27775,791.75546,3161.28179
92,0.92,nan,nan,912.7266979556672,-3731.124491028022,nan,nan,-3092.5111651230395,-2111.0083887703154,1257.854220778005,3444.7628239000423,nan,nan,489.68205,-3510.2382,nan,nan,-3198.96367,-2418.78377,792.44141,3160.81301
93,0.93,nan,nan,917.2503779327985,-3733.2543547477235,nan,nan,-3095.7285399558336,-2107.181052988691,1262.3913305181886,3446.863927230564,nan,nan,489.68767,-3510.24298,nan,nan,-3197.12181,-2424.54007,793.05114,3160.397
94,0.9400000000000001,nan,nan,921.778680279406,-3735.3743731103114,nan,nan,-3098.9392951818454,-2103.348162319935,1266.9481749919114,3448.921879718427,nan,nan,489.61639,-3510.16034,nan,nan,-3195.63354,-2431.52773,793.56257,3159.91008
95,0.9500000000000001,nan,nan,926.311405364328,-3737.484918846494,nan,nan,-3102.130137925456,-2099.498678901923,1271.528678754855,3450.926620419281,nan,nan,489.5543,-3510.05395,nan,nan,-3194.11167,-2438.48892,794.13792,3159.62251
96,0.96,nan,nan,930.848787939872,-3739.5854329176564,nan,nan,-3105.3093037998524,-2095.6395463124577,1276.1356461125101,3452.869775525159,nan,nan,489.52393,-3509.97256,nan,nan,-3192.09214,-2446.17166,794.69751,3159.48995
