,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[502.14813, 3243.08871, 0.0, 0.0]","[542.75862, 3214.03804, 162.44195999999988, -116.20268000000033]","[528.1096, 3176.83564, -58.5960799999998, -148.8096000000005]","[513.30001, 3181.24441, -59.23835999999983, 17.635080000000016]","[496.96361, 3192.61759, -65.3456000000001, 45.49272000000019]","[493.81555, 3197.86981, -12.592240000000174, 21.008880000001227]","[499.91829, 3204.4566, 24.41096000000016, 26.34715999999935]","[507.03047, 3214.11353, 28.448719999999867, 38.62772000000041]","[518.58671, 3221.38658, 46.22496000000028, 29.092199999999163]","[524.80756, 3224.05938, 24.88339999999971, 10.691200000001118]","[529.59262, 3230.05231, 19.140240000000176, 23.97171999999955]","[525.66135, 3229.28942, -15.725080000000162, -3.0515599999998813]","[522.1655, 3229.02538, -13.983400000000074, -1.0561600000000908]","[528.52239, 3222.44832, 25.427560000000085, -26.308240000000296]","[536.28458, 3211.98828, 31.04876000000013, -41.84015999999974]","[543.54822, 3202.2626, 29.054560000000038, -38.902720000000045]"
1,People,"[541.59927, 3199.47604, -7.795799999999872, -11.146240000000034]","[539.92097, 3195.91472, -6.713200000000143, -14.245279999999184]","[532.71264, 3191.10003, -28.833320000000185, -19.25876000000062]","[522.33689, 3190.28599, -41.5029999999997, -3.2561600000008184]","[517.48913, 3194.60164, -19.391039999999975, 17.26260000000002]","[518.19726, 3192.14704, 2.8325199999999313, -9.81840000000011]","[511.73448, 3187.3544, -25.851120000000037, -19.17055999999866]","[493.47651, 3181.78002, -73.03188, -22.297520000000077]","[454.50601, 3128.92639, -155.8820000000002, -211.41452000000046]","[308.92336, 2894.35182, -582.3306, -938.2982800000009]","[125.38563, 2851.70723, -734.15092, -170.57835999999952]","[-96.45016, 2844.78088, -887.34316, -27.705400000000736]","[-419.19743, 2827.27533, -1290.98908, -70.02219999999943]","[-709.41949, 2702.36136, -1160.88824, -499.65588000000025]","[-995.56245, 2526.33057, -1144.57184, -704.1231599999992]","[-1344.15778, 2463.70202, -1394.38132, -250.51419999999962]"
2,People,"[-1726.11398, 2415.18036, -1527.8248000000003, -194.08664000000135]","[-2056.83824, 2282.91116, -1322.8970399999998, -529.0767999999989]","[-2326.98539, 2066.19575, -1080.5885999999991, -866.861640000001]","[-2612.92972, 1839.75596, -1143.777320000001, -905.7591599999996]","[-2930.77173, 1683.65043, -1271.3680399999994, -624.4221200000002]","[-3271.37442, 1527.89087, -1362.4107600000007, -623.0382399999999]","[-3549.42205, 1300.85605, -1112.19052, -908.1392799999994]","[-3815.59473, 1080.66706, -1064.6907199999987, -880.7559600000004]","[-4075.03649, 966.95246, -1037.7670400000015, -454.8584000000005]","[-4356.5295, 758.16224, -1125.9720399999987, -835.1608799999999]","[-4594.39334, 444.01478, -951.4553599999999, -1256.58984]","[-4737.55637, 106.50045, -572.6521200000025, -1350.05732]","[-4878.44296, -232.17098, -563.5463600000003, -1354.68572]","[-5064.82875, -414.38209, -745.5431599999974, -728.8444400000001]","[-5332.4411, -647.32538, -1070.4494000000013, -931.77316]","[-5515.86079, -892.78274, -733.6787599999989, -981.82944]"
3,People,"[-5690.1931, -1193.93885, -697.3292400000028, -1204.62444]","[-5953.5195, -1381.99201, -1053.3055999999997, -752.2126399999997]","[-6284.00679, -1493.82253, -1321.9491600000001, -447.3220799999999]","[-6562.74614, -1635.67292, -1114.9573999999993, -567.4015600000002]","[-6832.78132, -1828.23319, -1080.1407199999994, -770.2410799999998]","[-7083.44592, -1995.93265, -1002.6584000000003, -670.7978400000002]","[-7345.58344, -2004.04578, -1048.550080000001, -32.45251999999982]","[-7628.18883, -1978.12506, -1130.4215599999989, 103.68287999999939]","[-7924.11204, -2035.62986, -1183.6928400000008, -230.01919999999993]","[-8225.60697, -2080.95075, -1205.979720000003, -181.28355999999985]","[-8406.91292, -2039.6857, -725.2237999999998, 165.0601999999999]","[-8463.29454, -2025.79485, -225.52648000000045, 55.5634]","[-8420.77807, -2031.78095, 170.06588000000193, -23.944400000000314]","[-8309.02953, -2065.78288, 446.994160000002, -136.00772000000052]","[-8146.642, -2107.40525, 649.5501199999999, -166.48947999999837]","[-8061.462504231311, -2126.671558011284, 340.71798307475547, -77.06523204513724]"
4,People,"[-8005.027843441467, -2145.1690135825106, 225.73864315937521, -73.98982228490551]","[-7948.593182651622, -2163.666469153738, 225.73864315938044, -73.98982228490968]","[-7892.158521861776, -2182.163924724965, 225.73864315938408, -73.98982228490786]","[-7835.723861071932, -2200.661380296192, 225.73864315937317, -73.98982228490786]","[-7779.289200282087, -2219.158835867419, 225.73864315938044, -73.98982228490786]","[-7722.854539492242, -2237.656291438646, 225.73864315938044, -73.98982228490786]","[-7666.419878702397, -2256.1537470098733, 225.73864315938044, -73.98982228490968]","[-7609.985217912553, -2274.6512025811003, 225.7386431593768, -73.98982228490786]","[-7553.550557122708, -2293.1486581523272, 225.73864315938064, -73.98982228490793]","[-7497.115896332863, -2311.646113723554, 225.73864315938044, -73.98982228490786]","[-7440.681235543018, -2330.1435692947816, 225.7386431593768, -73.98982228490968]","[-7384.246574753173, -2348.6410248660086, 225.73864315938044, -73.98982228490786]","[-7327.811913963328, -2367.138480437236, 225.73864315938044, -73.98982228490968]","[-7271.377253173483, -2385.6359360084625, 225.73864315938044, -73.98982228490604]","[-7214.942592383639, -2404.13339157969, 225.7386431593768, -73.98982228490968]","[-7158.507931593794, -2422.630847150917, 225.73864315938044, -73.98982228490786]"
5,People,"[-7102.073270803949, -2441.128302722144, 225.73864315938044, -73.98982228490786]","[-7045.638610014104, -2459.625758293371, 225.7386431593768, -73.98982228490786]","[-6989.203949224259, -2478.1232138645983, 225.73864315938044, -73.98982228490968]","[-6932.769288434414, -2496.620669435825, 225.73864315938044, -73.98982228490786]","[-6876.33462764457, -2515.118125007052, 225.7386431593768, -73.98982228490786]","[-6819.899966854725, -2533.615580578279, 225.73864315938044, -73.98982228490786]","[-6763.46530606488, -2552.113036149506, 225.73864315938044, -73.98982228490786]","[-6707.030645275036, -2570.610491720733, 225.7386431593768, -73.98982228490786]","[-6650.595984485191, -2589.1079472919605, 225.738643159377, -73.98982228490975]","[-6594.161323695345, -2607.6054028631875, 225.73864315938408, -73.98982228490786]","[-6537.726662905501, -2626.1028584344144, 225.7386431593768, -73.98982228490786]","[-6543.74452, -2650.73629, -24.0714283779962, -98.53372626234159]","[-6597.61863, -2759.92078, -215.49643999999898, -436.7379600000004]","[-6543.74517, -2773.42763, 215.49383999999918, -54.02740000000085]","[-6381.769961428571, -2718.924587857143, 647.900834285716, 218.01216857142936]","[-6191.63228047619, -2657.166800952381, 760.5507238095233, 247.03114761904726]"
6,People,"[-6001.4945995238095, -2595.409014047619, 760.5507238095233, 247.03114761904726]","[-5811.356918571429, -2533.6512271428574, 760.5507238095233, 247.03114761904726]","[-5621.219237619047, -2471.8934402380955, 760.550723809527, 247.03114761904726]","[-5431.081556666666, -2410.1356533333333, 760.5507238095233, 247.03114761904908]","[-5240.943875714285, -2348.3778664285715, 760.5507238095233, 247.03114761904726]","[-5050.806194761904, -2286.6200795238096, 760.5507238095233, 247.03114761904726]","[-4856.39044, -2224.52769, 777.6630190476171, 248.36955809523897]","[-4626.12936, -2175.79916, 921.0443200000009, 194.91411999999946]","[-4425.21304, -2088.11326, 803.6652800000018, 350.7436000000001]","[-4242.3612, -1999.05776, 731.4073599999974, 356.22200000000066]","[-4053.15491, -1828.95839, 756.8251600000003, 680.3974799999996]","[-3878.73329, -1734.8738, 697.6864800000003, 376.33835999999974]","[-3700.71404, -1693.07167, 712.0770000000011, 167.20852000000014]","[-3532.62803, -1666.36179, 672.34404, 106.83952000000045]","[-3282.6565, -1624.983, 999.8861199999992, 165.51515999999992]","[-3010.56087, -1529.75742, 1088.382520000001, 380.90232000000015]"
7,People,"[-2735.2172, -1394.62371, 1101.374679999999, 540.5348399999993]","[-2372.50983, -1340.28682, 1450.8294800000003, 217.34756000000016]","[-2018.52064, -1276.75052, 1415.95676, 254.14519999999993]","[-1849.5128, -1146.66912, 676.03136, 520.3256000000001]","[-1642.89677, -981.80006, 826.4641199999996, 659.47624]","[-1412.31215, -820.04476, 922.3384800000003, 647.0212000000001]","[-1148.83924, -742.136, 1053.8916399999998, 311.6350400000001]","[-852.42692, -688.77199, 1185.64928, 213.45604000000003]","[-582.62373, -556.31047, 1079.2127600000008, 529.8460800000003]","[-295.10215, -368.76388, 1150.0863200000001, 750.1863600000001]","[9.88576, -209.58751, 1219.95164, 636.7054799999999]","[303.1399, -163.01045, 1173.01656, 186.30824000000007]","[606.18967, -167.90558, 1212.1990799999999, -19.58051999999998]","[855.10688, -49.78794, 995.6688400000003, 472.47056]","[1084.92839, 129.31612, 919.28604, 716.41624]","[1297.63409, 228.5675, 850.8227999999999, 397.00551999999993]"
8,People,"[1557.27635, 242.23346, 1038.569040000015, 54.663840000000825]","[1841.54521, 271.01562, 1137.0754399999996, 115.12864000000002]","[2141.94667, 380.31471, 1201.6058399999993, 437.1963599999999]","[2482.98677, 490.86341, 1364.1604000000007, 442.1948]","[2761.27027, 550.42873, 1113.134, 238.26127999999994]","[2996.88676, 515.8495, 942.4659599999995, -138.31691999999975]","[3271.1589, 442.43703, 1097.0885600000001, -293.64988000000017]","[3487.54775, 446.84322, 865.5554000000011, 17.624759999999924]","[3699.99385, 509.43063, 849.7843999999994, 250.34964000000036]","[3939.52846, 579.98971, 958.1384400000006, 282.23631999999975]","[4187.99664, 597.58795, 993.8727200000012, 70.39296000000013]","[4484.4079, 646.13545, 1185.6450399999994, 194.19000000000005]","[4739.18851, 804.12264, 1019.1224399999992, 631.9487600000002]","[4981.66799, 1032.66693, 969.9179199999999, 914.1771600000002]","[5251.27214, 1216.46469, 1078.4166000000005, 735.1910399999997]","[5537.35221, 1308.87876, 1144.32028, 369.65628000000015]"
9,People,"[5819.7202, 1391.28055, 1129.471959999999, 329.60715999999957]","[6050.96838, 1515.66313, 924.992720000002, 497.53031999999985]","[6313.92225, 1672.51734, 1051.8154799999975, 627.4168400000008]","[6560.40079, 1759.68303, 985.9141600000003, 348.66275999999925]","[6795.98279, 1785.25684, 942.3280000000013, 102.29524000000038]","[7006.233772660333, 1795.350896128266, 841.003930641331, 40.37622451306379]","[6989.969414287411, 1808.353184429929, -65.05743349168552, 52.00915320665172]","[6973.70505591449, 1821.3554727315916, -65.05743349168552, 52.00915320665081]","[6957.440697541568, 1834.357761033254, -65.05743349168921, 52.00915320664995]","[6941.176339168646, 1847.3600493349168, -65.05743349168552, 52.00915320665081]","[6924.911980795725, 1860.3623376365797, -65.05743349168552, 52.00915320665172]","[6908.647622422804, 1873.3646259382424, -65.05743349168552, 52.00915320665081]","[6892.383264049881, 1886.366914239905, -65.05743349168915, 52.00915320665081]","[6876.11890567696, 1899.369202541568, -65.05743349168552, 52.00915320665172]","[6859.854547304039, 1912.3714908432305, -65.05743349168188, 52.0091532066499]","[6843.590188931117, 1925.3737791448928, -65.05743349168915, 52.00915320664899]"
