,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[7523.6118477943, 57.36237827757127, -504.61125774473476, 35.34620322180916]","[7397.459033358116, 66.19892908302356, -504.61125774473476, 35.34620322180916]","[7271.306218921934, 75.03547988847586, -504.6112577447311, 35.34620322180922]","[7145.15340448575, 83.87203069392814, -504.61125774473476, 35.346203221809105]","[7019.000590049567, 92.70858149938044, -504.6112577447311, 35.34620322180922]","[6892.847775613383, 101.54513230483276, -504.61125774473476, 35.346203221809276]","[6766.6949611772, 110.38168311028502, -504.61125774473476, 35.34620322180905]","[6640.542146741016, 119.21823391573731, -504.61125774473476, 35.34620322180916]","[6514.389332304832, 128.0547847211896, -504.6112577447352, 35.34620322180919]","[6388.23651786865, 136.8913355266419, -504.6112577447311, 35.34620322180922]","[6262.083703432466, 145.72788633209422, -504.61125774473476, 35.34620322180922]","[6135.930888996283, 154.5644371375465, -504.6112577447311, 35.346203221809105]","[6009.778074560099, 163.4009879429988, -504.61125774473476, 35.34620322180922]","[5883.625260123916, 172.2375387484511, -504.61125774473476, 35.34620322180922]","[5757.472445687732, 181.07408955390335, -504.61125774473476, 35.34620322180899]","[5631.319631251548, 189.91064035935568, -504.61125774473476, 35.34620322180933]"
1,People,"[5505.166816815366, 198.747191164808, -504.6112577447311, 35.34620322180922]","[5379.014002379182, 207.58374197026023, -504.61125774473476, 35.34620322180899]","[5252.861187942999, 216.42029277571257, -504.6112577447311, 35.34620322180933]","[5126.708373506815, 225.25684358116487, -504.61125774473476, 35.34620322180922]","[4900.25643, 255.35784, -905.8077740272602, 120.40398567534055]","[4574.4456, 283.3235, -1303.2433200000014, 111.86264000000006]","[4252.25451, 293.94497, -1288.764360000001, 42.48587999999995]","[3946.56073, 329.63062, -1222.7751199999984, 142.74260000000004]","[3637.60926, 381.89896, -1235.805880000001, 209.07336000000006]","[3314.5344, 408.26871, -1292.2994400000007, 105.47900000000004]","[2987.01107, 419.43758, -1310.09332, 44.67548000000011]","[2658.42704, 449.68938, -1314.33612, 121.00720000000001]","[2346.62361, 496.43254, -1247.2137199999997, 186.97263999999996]","[2025.35189, 549.92123, -1285.0868800000007, 213.95476000000008]","[1719.62167, 591.80445, -1222.9208799999997, 167.53287999999975]","[1399.78355, 652.55252, -1279.3524799999996, 242.99227999999994]"
2,People,"[1099.26536, 757.75186, -1202.07276, 420.79736]","[799.2443, 889.88115, -1200.0842400000006, 528.5171600000003]","[508.30365, 1001.02964, -1163.7625999999998, 444.5939599999997]","[203.19998, 1102.43376, -1220.4146799999999, 405.6164799999997]","[-98.15128, 1221.29374, -1205.40504, 475.4399200000007]","[-397.53512, 1335.25169, -1197.53536, 455.83179999999993]","[-707.1757, 1426.95291, -1238.56232, 366.8048799999997]","[-1013.03227, 1488.38061, -1223.4262800000001, 245.71079999999984]","[-1327.79744, 1550.56709, -1259.0606800000012, 248.74592000000052]","[-1625.87304, 1631.38523, -1192.3023999999996, 323.27256000000034]","[-1921.11353, 1706.16023, -1180.9619600000005, 299.09999999999945]","[-2234.29184, 1742.56923, -1252.7132399999991, 145.63600000000042]","[-2560.19488, 1756.02436, -1303.6121600000006, 53.820519999999306]","[-2857.68405, 1812.94229, -1189.9566799999993, 227.67172000000028]","[-3148.00709, 1892.43918, -1161.2921600000009, 317.9875600000005]","[-3438.26714, 1948.9023, -1161.0401999999995, 225.85247999999956]"
3,People,"[-3728.95325, 2005.10757, -1162.7444399999922, 224.82107999999812]","[-4015.47069, 2072.81825, -1146.0697600000003, 270.84271999999964]","[-4300.98619, 2144.90899, -1142.061999999998, 288.3629600000004]","[-4592.28331, 2211.68023, -1165.1884800000007, 267.08496000000014]","[-4871.85294, 2248.10012, -1118.2785199999998, 145.6795600000005]","[-5075.203539847561, 2262.849833109756, -813.4023993902447, 58.99885243902463]","[-5145.355414466463, 2277.2834908841464, -280.60749847560874, 57.73463109756085]","[-5215.507289085366, 2291.7171486585366, -280.6074984756124, 57.73463109756085]","[-5285.659163704268, 2306.150806432927, -280.60749847560896, 57.7346310975609]","[-5355.811038323171, 2320.584464207317, -280.60749847560874, 57.73463109756085]","[-5425.962912942073, 2335.0181219817077, -280.60749847560874, 57.73463109756267]","[-5496.114787560976, 2349.451779756097, -280.6074984756124, 57.73463109755721]","[-5566.266662179878, 2363.885437530488, -280.60749847560874, 57.73463109756449]","[-5636.41853679878, 2378.319095304878, -280.60749847560874, 57.73463109755903]","[-5706.570411417683, 2392.7527530792686, -280.6074984756124, 57.73463109756267]","[-5776.7222860365855, 2407.1864108536583, -280.60749847560874, 57.73463109755903]"
4,People,"[-5846.874160655488, 2421.620068628049, -280.60749847560874, 57.73463109756267]","[-5917.02603527439, 2436.053726402439, -280.60749847560874, 57.73463109756085]","[-5987.177909893293, 2450.487384176829, -280.6074984756124, 57.73463109755903]","[-6057.329784512195, 2464.92104195122, -280.60749847560874, 57.73463109756449]","[-6127.481659131097, 2479.35469972561, -280.60749847560874, 57.73463109755903]","[-6197.63353375, 2493.7883575, -280.6074984756124, 57.73463109756085]","[-6267.785408368903, 2508.2220152743903, -280.60749847560874, 57.73463109756085]","[-6337.937282987805, 2522.6556730487805, -280.60749847560874, 57.73463109756085]","[-6408.089157606708, 2537.0893308231707, -280.6074984756126, 57.7346310975609]","[-6478.24103222561, 2551.522988597561, -280.60749847560874, 57.73463109756085]","[-6548.392906844512, 2565.956646371951, -280.60749847560874, 57.73463109756085]","[-6618.544781463415, 2580.3903041463414, -280.6074984756124, 57.73463109756085]","[-6688.6966560823175, 2594.823961920732, -280.60749847560874, 57.73463109756267]","[-6758.84853070122, 2609.257619695122, -280.60749847560874, 57.73463109755903]","[-6829.000405320122, 2623.691277469512, -280.60749847560874, 57.73463109756085]","[-6886.06356, 2630.06188, -228.2526187195108, 25.482410121952853]"
5,People,"[-6810.53603, 2582.32943, 302.11011999999755, -190.9298000000017]","[-6683.23043, 2566.946, 509.2224000000024, -61.53371999999945]","[-6577.36711, 2586.24982, 423.4532799999979, 77.21528000000035]","[-6463.91111, 2594.45519, 453.8240000000005, 32.82148000000052]","[-6339.39113, 2580.98624, 498.07992000000013, -53.8757999999998]","[-6243.39948, 2544.85903, 383.96659999999974, -144.50884000000042]","[-6158.79974, 2505.85898, 338.3989599999986, -156.0002000000004]","[-6036.269194054054, 2451.937452972973, 490.12218378378384, -215.68610810810787]","[-5893.86525, 2384.9395366666668, 569.6157762162188, -267.99166522522523]","[-5706.80471, 2296.76169, 748.242159999998, -352.71138666666775]","[-5483.082388888889, 2236.146657777778, 894.8892844444454, -242.460128888888]","[-5231.92215, 2196.61332, 1004.6409555555547, -158.13335111111155]","[-4956.80805, 2141.33295, 1100.4564000000028, -221.1214799999998]","[-4688.16804, 2038.34123, 1074.5600400000003, -411.96687999999995]","[-4414.62462, 1896.09538, 1094.1736799999999, -568.9834000000001]","[-4148.54048, 1744.23436, 1064.3365599999997, -607.4440800000002]"
6,People,"[-3873.61092, 1580.91563, 1099.7182399999983, -653.2749199999998]","[-3626.79499, 1381.04706, 987.2637200000008, -799.4742799999995]","[-3376.85656, 1155.39546, 999.7537199999988, -902.6064000000006]","[-3105.28539, 944.53968, 1086.2846800000007, -843.4231199999999]","[-2833.69805, 761.5142, 1086.3493600000002, -732.1019200000001]","[-2579.05483, 576.42873, 1018.5728799999997, -740.34188]","[-2339.08602, 382.11014, 959.8752399999994, -777.2743599999999]","[-2084.65087, 212.06202, 1017.740600000001, -680.19248]","[-1816.85464, 84.86915, 1071.1849200000006, -508.7714800000004]","[-1525.30842, -17.40566, 1166.1848799999998, -409.09924]","[-1240.13511, -137.48708, 1140.6932400000005, -480.32568]","[-938.33696, -234.96404, 1207.1925999999999, -389.9078400000001]","[-635.0904, -275.67906, 1212.9862399999997, -162.86007999999993]","[-317.26303, -289.24784, 1271.3094800000001, -54.275120000000015]","[-11.19623, -308.76533, 1224.2672, -78.06996000000004]","[302.01514, -331.98673, 1252.84548, -92.88560000000007]"
7,People,"[613.16057, -339.2058, 1244.5817200000179, -28.876280000000364]","[921.88693, -319.86121, 1234.90544, 77.37835999999993]","[1234.45716, -302.58089, 1250.2809199999997, 69.12128000000007]","[1523.30953, -297.37491, 1155.4094800000003, 20.823920000000044]","[1810.68837, -294.25056, 1149.5153600000003, 12.49739999999997]","[2089.49371, -260.10045, 1115.2213600000005, 136.60043999999994]","[2372.862, -209.54421, 1133.4731599999996, 202.22496000000012]","[2644.59374, -186.50446, 1086.9269599999989, 92.15899999999999]","[2922.94204, -195.23975, 1113.3932000000013, -34.941159999999996]","[3210.50298, -193.76049, 1150.2437600000012, 5.917039999999929]","[3492.27845, -166.27549, 1127.1018799999983, 109.94000000000005]","[3774.15267, -141.74467, 1127.4968800000006, 98.12327999999991]","[4052.15609, -148.58833, 1112.01368, -27.37464]","[4327.96966, -169.91245, 1103.2542799999992, -85.29647999999997]","[4589.58458, -164.04944, 1046.45968, 23.45204000000001]","[4868.62354, -153.32615, 1116.1558399999994, 42.893159999999966]"
8,People,"[5143.325524531249, -158.38019296874998, 1098.807938124999, -20.216171874999873]","[5411.890239375, -169.184290625, 1074.2588593750042, -43.21639062500003]","[5680.45495421875, -179.98838828125, 1074.258859374997, -43.21639062500003]","[5950.37819, -177.53417, 1079.6929431250028, 9.81687312500003]","[6221.13423, -170.31616, 1083.0241599999972, 28.87203999999997]","[6479.79368, -192.57258, 1034.6378000000004, -89.02567999999997]","[6740.47022, -226.62804, 1042.7061600000015, -136.22184000000004]","[6982.73242, -237.74639, 969.0488000000005, -44.47339999999997]","[7218.07092, -220.59766, 941.3540000000002, 68.59492000000006]","[7445.87753, -209.16742, 911.2264399999985, 45.72095999999999]","[7682.92009, -226.62802, 948.1702399999995, -69.8424]","[7943.48682, -246.88786, 1042.2669200000018, -81.03935999999999]","[8204.58141, -222.25669, 1044.3783600000024, 98.52467999999999]","[8458.62883, -164.57044, 1016.1896799999959, 230.745]","[8690.89816, -127.56455, 929.077320000004, 148.02355999999997]","[8914.608153333334, -109.59884, 894.8399733333354, 71.86284]"
9,People,"[9028.96828944664, -76.91472976284585, 457.440544453224, 130.73644094861658]","[8996.500593465085, -73.64914577075099, -129.8707839262206, 13.062335968379443]","[8964.032897483532, -70.38356177865613, -129.87078392621333, 13.062335968379443]","[8931.565201501977, -67.11797778656126, -129.8707839262206, 13.0623359683795]","[8899.097505520422, -63.8523937944664, -129.8707839262206, 13.062335968379415]","[8866.629809538868, -60.58680980237154, -129.87078392621333, 13.062335968379443]","[8834.162113557313, -57.32122581027668, -129.8707839262206, 13.062335968379443]","[8801.694417575758, -54.05564181818182, -129.8707839262206, 13.062335968379443]","[8769.226721594203, -50.79005782608695, -129.87078392622072, 13.062335968379484]","[8736.75902561265, -47.52447383399209, -129.87078392621333, 13.062335968379443]","[8704.291329631094, -44.25888984189723, -129.8707839262206, 13.062335968379443]","[8671.82363364954, -40.99330584980237, -129.8707839262206, 13.062335968379443]","[8639.355937667984, -37.72772185770751, -129.8707839262206, 13.062335968379443]","[8606.88824168643, -34.46213786561265, -129.87078392621333, 13.062335968379443]","[8574.420545704876, -31.196553873517782, -129.8707839262206, 13.062335968379458]","[8541.95284972332, -27.930969881422925, -129.8707839262206, 13.06233596837943]"
