,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[800.65805, 334.71862, 428.2699200000002, -558.70568]","[863.48918, 171.31313, 251.32452000000012, -653.62196]","[891.66483, 1.2204, 112.70260000000007, -680.37092]","[949.09988, -177.2216, 229.74019999999973, -713.768]","[1050.53105, -366.95815, 405.72468000000026, -758.9462]","[1141.98627, -582.83748, 365.8208800000002, -863.5173200000002]","[1155.37863, -825.47126, 53.569439999999304, -970.53512]","[1132.68426, -1066.14016, -90.77747999999974, -962.6755999999996]","[1151.46705, -1318.91248, 75.13115999999998, -1011.089280000001]","[1193.47737, -1589.46638, 168.04128000000037, -1082.2156000000004]","[1188.69902, -1857.02302, -19.113400000000183, -1070.22656]","[1133.24813, -2119.85789, -221.8035600000003, -1051.3394800000005]","[1103.16862, -2367.85571, -120.31804000000011, -991.9912799999984]","[1088.46479, -2619.07084, -58.8153199999997, -1004.8605200000002]","[1046.98619, -2851.69988, -165.91439999999966, -930.516160000001]","[936.83282, -3056.42337, -440.61348000000044, -818.8939599999994]"
1,People,"[802.9979832272728, -3227.3956416818182, -535.3393470909086, -683.889086727273]","[767.5858161818182, -3260.5220405454543, -141.64866818181827, -132.50559545454416]","[732.1736491363637, -3293.6484394090908, -141.64866818181827, -132.50559545454598]","[696.7614820909091, -3326.7748382727277, -141.64866818181827, -132.5055954545478]","[661.3493150454545, -3359.901237136364, -141.64866818181827, -132.50559545454598]","[625.937148, -3393.027636, -141.64866818181827, -132.50559545454234]","[590.5249809545455, -3426.1540348636363, -141.6486681818178, -132.50559545454598]","[555.1128139090908, -3459.280433727273, -141.64866818181872, -132.50559545454598]","[519.7006468636364, -3492.4068325909093, -141.64866818181792, -132.5055954545461]","[492.68861, -3505.57559, -108.04814745454564, -52.675029636362524]","[480.22179, -3498.77239, -49.86727999999994, 27.212799999999334]","[485.9222630769231, -3505.246793076923, 22.80189230769247, -25.897612307691816]","[481.6877534615385, -3517.604616794872, -16.938038461538554, -49.431294871796126]","[477.4532438461538, -3529.9624405128206, -16.93803846153878, -49.43129487179431]","[471.19051, -3537.25617, -25.05093538461506, -29.174917948717848]","[467.00631, -3534.74566, -16.73680000000013, 10.04204000000027]"
2,People,"[469.86565, -3536.87277, 11.437360000000044, -8.508439999999549]","[467.44055, -3532.99956, -9.700400000000172, 15.492839999998978]","[465.31815, -3523.721, -8.489599999999882, 37.11424000000079]","[458.87253, -3524.58187, -25.782480000000078, -3.4434799999999086]","[452.25536, -3518.17711, -26.46867999999995, 25.619039999999586]","[452.87404, -3518.56681, 2.474719999999934, -1.5587999999988824]","[446.67399, -3516.03686, -24.800199999999904, 10.119799999998577]","[449.27553, -3491.34169, 10.40616, 98.78067999999985]","[522.1959643076923, -3471.8960273076923, 291.68173723076944, 77.7826507692317]","[614.5081104615384, -3446.3829984615386, 369.2485846153845, 102.05211538461481]","[706.8202566153846, -3420.8699696153844, 369.2485846153845, 102.05211538461663]","[799.1324027692308, -3395.3569407692307, 369.24858461538497, 102.05211538461481]","[891.4445489230768, -3369.843911923077, 369.24858461538406, 102.05211538461481]","[976.35634, -3327.57452, 339.64716430769295, 169.07756769230764]","[1022.3867, -3248.75012, 184.1214399999999, 315.2975999999999]","[1044.42092, -3184.27689, 88.13688000000002, 257.89292000000023]"
3,People,"[1021.78972, -3128.60141, -90.52480000000014, 222.70191999999952]","[957.80955, -3074.91785, -255.92068000000017, 214.7342400000016]","[881.39626, -3007.21319, -305.65315999999984, 270.8186399999995]","[824.59759, -2924.93791, -227.19468000000006, 329.10111999999936]","[793.4001, -2809.06636, -124.78996000000006, 463.4862000000012]","[787.20182, -2673.85342, -24.793119999999817, 540.8517599999996]","[762.77407, -2529.31093, -97.71099999999979, 578.1699599999993]","[701.23353, -2386.96996, -246.1621600000003, 569.3638800000008]","[616.63468, -2242.58194, -338.39540000000017, 577.55208]","[566.79623, -2078.6625, -199.35379999999986, 655.6777600000005]","[563.70231, -1890.05882, -12.375680000000102, 754.4147199999998]","[591.67312, -1696.87065, 111.88324000000011, 772.7526799999996]","[586.2148, -1514.58069, -21.833280000000286, 729.1598400000003]","[562.27612, -1321.8329, -95.7547199999999, 770.9911599999996]","[568.51684, -1133.57235, 24.96288000000004, 753.0422000000008]","[614.92348, -952.51436, 185.62656000000015, 724.2319599999996]"
4,People,"[688.4825, -766.49068, 294.2360799999997, 744.09472]","[727.0553, -576.92943, 154.29120000000012, 758.2449999999999]","[715.23592, -387.97252, -47.277520000000095, 755.8276400000002]","[699.1679, -200.83448, -64.27207999999973, 748.5521599999998]","[715.67236, -14.09275, 66.01783999999998, 746.9669200000001]","[751.35906, 166.3096, 142.7467999999999, 721.6093999999999]","[748.78218, 344.19055, -10.30751999999984, 711.5237999999999]","[693.23503, 501.69512, -222.18859999999995, 630.01828]","[617.82254, 625.62604, -301.6499600000005, 495.7236800000005]","[577.26949, 750.96629, -162.21219999999994, 501.3609999999999]","[580.98682, 885.70446, 14.869319999999789, 538.9526800000003]","[574.11189, 1005.14249, -27.499719999999797, 477.75211999999965]","[551.53145, 1070.95797, -90.32176000000027, 263.2619199999999]","[519.882, 1087.15249, -126.5978, 64.77808000000005]","[491.74459, 1096.23546, -112.54963999999973, 36.33188000000064]","[477.11144, 1099.50624, -58.5326, 13.083119999999326]"
5,People,"[458.0284, 1100.95674, -76.33216000000016, 5.802000000000589]","[445.30069, 1104.76149, -50.91084000000001, 15.219000000000051]","[441.2476, 1104.91288, -16.21235999999999, 0.6055599999999686]","[443.43711, 1104.30692, 8.758040000000165, -2.423840000000382]","[441.26211, 1105.09167, -8.700000000000045, 3.1390000000001237]","[435.93149, 1108.25729, -21.32248000000004, 12.66247999999996]","[435.69171, 1110.10599, -0.9591199999999844, 7.394800000000032]","[437.47077, 1110.42, 7.116240000000062, 1.2560400000002119]","[438.41206, 1109.46863, 3.765159999999927, -3.805479999999992]","[441.31269, 1106.99327, 11.602519999999913, -9.901440000000548]","[444.02346, 1107.04565, 10.8430800000001, 0.20952000000033877]","[447.06348, 1107.90976, 12.160080000000107, 3.4564399999999296]","[450.67427, 1106.33694, 14.443159999999807, -6.29128000000037]","[453.03193, 1103.89465, 9.43064000000004, -9.769159999999829]","[453.06159, 1101.4134, 0.1186400000001413, -9.925000000000182]","[454.01064, 1096.24291, 3.796199999999999, -20.68195999999989]"
6,People,"[455.97002, 1092.24812, 7.837519999999924, -15.979160000000093]","[458.66524, 1090.95346, 10.780880000000025, -5.178640000000087]","[460.38437, 1091.1794, 6.876520000000028, 0.9037600000001476]","[461.40834, 1090.39839, 4.095880000000079, -3.1240399999996953]","[463.23402, 1088.34334, 7.302719999999908, -8.22020000000066]","[465.84, 1086.56264, 10.423919999999953, -7.122799999999188]","[468.04673, 1088.88426, 8.8269200000002, 9.286479999999756]","[468.78163, 1095.90313, 2.9395999999999276, 28.075479999999516]","[471.64637, 1105.08189, 11.458959999999944, 36.71504000000008]","[479.87828, 1124.07594, 32.92764000000011, 75.97620000000006]","[497.74884, 1162.82517, 71.48223999999982, 154.9969200000005]","[519.34834, 1241.35363, 86.39800000000014, 314.11384]","[515.98389, 1357.48837, -13.457800000000134, 464.53895999999986]","[478.64706, 1465.77239, -149.34731999999985, 433.1360800000002]","[461.52494, 1561.08249, -68.48847999999998, 381.2403999999997]","[458.52945, 1628.24329, -11.981960000000072, 268.6431999999995]"
7,People,"[429.63944, 1676.87406, -115.56004000000007, 194.52308000000085]","[383.52977, 1716.11716, -184.43867999999998, 156.97239999999965]","[342.36365, 1740.0962, -164.6644799999999, 95.91615999999976]","[317.92089, 1749.88349, -97.77104000000008, 39.14915999999994]","[316.62825, 1743.2906, -5.170560000000023, -26.37155999999959]","[333.08641, 1722.93603, 65.83264000000008, -81.41827999999987]","[350.20923, 1706.75518, 68.49127999999996, -64.72339999999986]","[363.48386, 1691.00033, 53.09852000000001, -63.01940000000013]","[370.06475, 1678.65559, 26.323560000000068, -49.37896000000005]","[376.88787, 1680.38491, 27.29248000000007, 6.917279999999664]","[373.82194, 1686.18403, -12.263720000000149, 23.19647999999961]","[368.4846, 1697.96002, -21.349359999999933, 47.10396000000037]","[369.25643, 1717.48963, 3.0873200000000907, 78.11844000000019]","[384.87142, 1760.37399, 62.45995999999991, 171.53744000000006]","[373.22437, 1792.05526, -46.588199999999915, 126.72508000000016]","[345.46826, 1844.97413, -111.02444000000014, 211.67547999999988]"
8,People,"[319.96248, 1923.30801, -102.02311999999984, 313.33551999999963]","[323.25955, 2060.03374, 13.18827999999985, 546.9029199999995]","[365.49306, 2278.13905, 168.9340400000001, 872.4212400000015]","[355.59896, 2501.12966, -39.57640000000015, 891.9624399999993]","[308.05445, 2748.24612, -190.17804, 988.4658399999989]","[259.70008, 3021.02759, -193.41747999999984, 1091.1258800000014]","[250.12038, 3258.66423, -38.31880000000001, 950.5465599999989]","[255.80883796407184, 3279.4826896407185, 22.75383185628732, 83.27383856287452]","[262.5139307784431, 3265.149367784431, 26.82037125748516, -57.3332874251501]","[269.2190235928144, 3250.816045928144, 26.82037125748502, -57.33328742514823]","[275.92411640718564, 3236.4827240718564, 26.82037125748502, -57.33328742515005]","[282.6292092215569, 3222.149402215569, 26.82037125748502, -57.33328742515005]","[289.33430203592815, 3207.8160803592814, 26.82037125748502, -57.33328742515005]","[296.0393948502994, 3193.482758502994, 26.82037125748502, -57.33328742515005]","[302.74448766467066, 3179.149436646707, 26.82037125748502, -57.33328742514823]","[309.4495804790419, 3164.8161147904198, 26.82037125748502, -57.33328742514823]"
9,People,"[316.1546732934132, 3150.482792934132, 26.82037125748525, -57.333287425151866]","[322.8597661077844, 3136.1494710778443, 26.820371257484794, -57.33328742515005]","[329.5648589221557, 3121.8161492215568, 26.82037125748502, -57.33328742515005]","[336.26995173652693, 3107.4828273652697, 26.82037125748502, -57.33328742514823]","[345.36925, 3062.08511, 36.39719305389235, -181.5908694610789]","[388.16693, 2952.63342, 171.19071999999983, -437.8067599999995]","[443.51785, 2788.84079, 221.40368000000012, -655.1705199999997]","[535.96005, 2628.77444, 369.76880000000006, -640.2654000000002]","[708.22688, 2519.22357, 689.0673200000007, -438.2034800000005]","[938.03963, 2413.86664, 919.2509999999997, -421.4277199999997]","[1171.6215, 2279.36496, 934.3274799999999, -538.0067200000012]","[1405.70783, 2115.59155, 936.3453200000004, -655.0936399999991]","[1666.83612, 1974.96194, 1044.5131599999995, -562.5184400000007]","[1943.44922, 1848.14665, 1106.4524000000001, -507.26116]","[2206.30559, 1679.70665, 1051.4254799999999, -673.7599999999993]","[2445.7434, 1485.73083, 957.7512399999996, -775.9032800000004]"
