,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[4273.61198, 99.61094, 0, 0]","[3952.98041, 116.09151999999999, -1282.5262799999982, 65.92231999999996]","[3613.51865, 238.64469, -1357.8470400000006, 490.21268000000003]","[3247.91525, 358.754, -1462.4135999999999, 480.4372400000001]","[2925.5257, 326.19122999999996, -1289.5581999999995, -130.25108000000023]","[2612.85633, 253.83646000000002, -1250.6774800000003, -289.4190799999998]","[2295.65582, 262.58135, -1268.8020400000005, 34.97955999999988]","[1933.41143, 331.56089, -1448.9775599999994, 275.91815999999994]","[1592.62927, 313.54508, -1363.128640000002, -72.06324000000002]","[1286.0981800000002, 208.91804, -1226.124359999999, -418.50816]","[977.8299599999999, 86.76064000000001, -1233.072880000001, -488.6295999999999]","[666.70685, 90.86706, -1244.4924399999995, 16.425679999999943]","[317.25445, 127.14703999999999, -1397.8096, 145.11991999999998]","[4.46478, 52.2734, -1251.15868, -299.49456]","[-288.39678, -59.36427, -1171.44624, -446.55068]","[-528.2884, -125.70544, -959.5664800000002, -265.36468]"
1,People,"[-768.51369, -97.04746, 0, 0]","[-1038.4564699999999, -14.84826, -1079.7711199999994, 328.7968]","[-1290.05818, 56.71983, -1006.4068400000006, 286.27236]","[-1535.59083, 166.88973000000001, -982.1306000000004, 440.67960000000005]","[-1786.3087, 224.91851, -1002.8714799999998, 232.11511999999993]","[-2003.60076, 353.61746, -869.16824, 514.7958]","[-2218.7444600000003, 547.31305, -860.5748000000012, 774.7823599999999]","[-2439.6758, 650.4952599999999, -883.7253599999985, 412.72883999999976]","[-2675.4252899999997, 649.17839, -942.9979599999996, -5.267479999999527]","[-2902.6284, 599.16627, -908.8124400000015, -200.04847999999993]","[-3128.5974699999997, 568.04013, -903.8762799999986, -124.50456000000031]","[-3422.2038700000003, 567.87495, -1174.4256000000023, -0.6607199999998556]","[-3790.22828, 488.47185, -1472.0976399999981, -317.6124]","[-4084.83316, 382.20473, -1178.4195200000013, -425.06848000000014]","[-4373.48076, 307.78769, -1154.590400000001, -297.66815999999994]","[-4673.57566, 314.55422000000004, -1200.3796000000002, 27.066120000000183]"
2,People,"[-5000.33506, 332.47867, 0, 0]","[-5321.66461, 249.74972999999997, -1285.318199999998, -330.9157600000002]","[-5652.49544, 157.07068, -1323.3233199999995, -370.71619999999984]","[-5988.29405, 127.90227, -1343.194440000003, -116.67364000000003]","[-6340.84261, 171.36285, -1410.194239999997, 173.84232000000003]","[-6674.75447111111, 228.89307333333332, -1335.647444444443, 230.12089333333324]","[-6992.076430987654, 274.8687862962963, -1269.2878395061744, 183.902851851852]","[-7309.398390864198, 320.84449925925924, -1269.2878395061744, 183.90285185185166]","[-7588.12122, 428.9362, -1114.8913165432105, 432.3668029629634]","[-7833.38725, 698.06561, -981.0641199999991, 1076.51764]","[-8003.831478909091, 897.9024703140495, -681.7769156363647, 799.3474412561982]","[-7852.001215272727, 793.1643492396694, 607.3210545454567, -418.95248429752064]","[-7700.1709516363635, 688.4262281652893, 607.3210545454531, -418.9524842975202]","[-7548.340687999999, 583.6881070909093, 607.3210545454567, -418.9524842975202]","[-7396.510424363636, 478.94998601652895, 607.3210545454531, -418.9524842975213]","[-7244.680160727273, 374.2118649421488, 607.3210545454531, -418.95248429752064]"
3,People,"[-7092.8498970909095, 269.4737438677686, 0, 0]","[-6941.019633454544, 164.73562279338842, 607.3210545454604, -418.95248429752064]","[-6789.189369818182, 59.997501719008255, 607.3210545454494, -418.95248429752064]","[-6637.359106181818, -44.740619355371905, 607.3210545454567, -418.95248429752064]","[-6485.5288425454555, -149.47874042975198, 607.3210545454494, -418.9524842975203]","[-6333.6985789090895, -254.21686150413208, 607.321054545464, -418.9524842975204]","[-6181.868315272727, -358.95498257851233, 607.3210545454494, -418.952484297521]","[-6030.038051636364, -463.6931036528924, 607.3210545454531, -418.9524842975202]","[-5878.207788000001, -568.4312247272727, 607.3210545454536, -418.9524842975217]","[-5726.377524363636, -673.169345801653, 607.3210545454567, -418.9524842975211]","[-5574.547260727273, -777.9074668760331, 607.3210545454531, -418.95248429752064]","[-5422.716997090909, -882.6455879504132, 607.3210545454567, -418.9524842975202]","[-5270.886733454546, -987.3837090247937, 607.3210545454531, -418.952484297522]","[-5119.0564698181815, -1092.1218300991736, 607.3210545454567, -418.95248429751973]","[-4967.226206181818, -1196.8599511735538, 607.3210545454531, -418.95248429752064]","[-4815.395942545454, -1301.598072247934, 607.3210545454567, -418.95248429752064]"
4,People,"[-4663.565678909091, -1406.336193322314, 0, 0]","[-4511.7354152727285, -1511.0743143966947, 607.3210545454494, -418.95248429752246]","[-4359.9051516363625, -1615.8124354710744, 607.321054545464, -418.9524842975188]","[-4068.2986, -1628.9627699999999, 1166.4262065454495, -52.601338115701765]","[-3778.51542, -1674.97036, 1159.1327199999996, -184.03036000000066]","[-3483.31324, -1733.0980100000002, 1180.808720000001, -232.51060000000052]","[-3165.42981, -1701.40595, 1271.5337199999994, 126.76824000000033]","[-2766.97281, -1618.0502800000002, 1593.8279999999995, 333.4226799999997]","[-2391.70631, -1558.39468, 1501.066000000002, 238.6224000000004]","[-2118.36506, -1635.3355099999999, 1093.3649999999998, -307.7633199999991]","[-1880.1349100000002, -1717.42145, 952.9205999999995, -328.34376000000066]","[-1582.961, -1698.8599100000001, 1188.6956400000008, 74.24615999999969]","[-1254.82477, -1663.09085, 1312.5449200000003, 143.07624000000033]","[-908.4834599999999, -1683.4848100000002, 1385.36524, -81.57584000000043]","[-522.70154, -1744.48943, 1543.1276799999996, -244.01847999999973]","[-133.51461, -1706.49135, 1556.74772, 151.9923200000003]"
5,People,"[243.70996, -1586.4618, 0, 0]","[598.68013, -1472.2368099999999, 1419.8806799999998, 456.89996000000065]","[921.5428199999999, -1457.14822, 1291.4507599999997, 60.35435999999936]","[1218.91292, -1408.18783, 1189.4804000000004, 195.84155999999984]","[1514.62071, -1268.20437, 1182.8311599999997, 559.9338400000006]","[1820.18703, -1107.6898, 1222.2652800000005, 642.0582799999993]","[2139.9837199999997, -1025.9425, 1279.1867599999987, 326.9892]","[2501.1368, -999.81595, 1444.612320000002, 104.50620000000026]","[2849.82613, -934.29073, 1394.75732, 262.1008800000002]","[3174.61748, -800.17421, 1299.1653999999999, 536.4660800000001]","[3551.56395, -678.07096, 1507.7858800000013, 488.413]","[3974.50605, -687.55238, 1691.768399999999, -37.92567999999983]","[4357.63176, -741.68615, 1532.502840000001, -216.5350800000001]","[4629.48466, -663.2348099999999, 1087.4115999999995, 313.8053600000003]","[4925.1885, -564.1037, 1182.8153600000005, 396.5244399999997]","[5264.80015, -545.4229, 1358.4465999999993, 74.7231999999999]"
6,People,"[5283.847794695052, -526.1840196087458, 0, 0]","[5274.9611367548905, -501.6143452704258, -35.54663176064423, 98.27869735327977]","[5266.074478814729, -477.04467093210593, -35.54663176064423, 98.27869735327954]","[5257.1878208745675, -452.4749965937861, -35.54663176064787, 98.27869735327931]","[5248.301162934406, -427.90532225546616, -35.54663176064423, 98.27869735327977]","[5239.414504994246, -403.3356479171462, -35.546631760640594, 98.27869735327977]","[5230.527847054085, -378.7659735788263, -35.54663176064423, 98.27869735327977]","[5221.641189113924, -354.19629924050633, -35.54663176064423, 98.27869735327977]","[5212.754531173763, -329.62662490218645, -35.54663176064426, 98.27869735327963]","[5203.867873233602, -305.05695056386656, -35.54663176064423, 98.27869735327954]","[5194.981215293441, -280.4872762255467, -35.54663176064423, 98.27869735327954]","[5186.094557353279, -255.91760188722677, -35.54663176064787, 98.27869735327965]","[5177.207899413119, -231.34792754890685, -35.546631760640594, 98.27869735327965]","[5168.321241472958, -206.77825321058688, -35.54663176064423, 98.27869735327988]","[5159.434583532798, -182.20857887226703, -35.546631760640594, 98.27869735327943]","[5150.547925592636, -157.6389045339471, -35.54663176064787, 98.27869735327965]"
7,People,"[5141.661267652475, -133.0692301956272, 0, 0]","[5132.774609712314, -108.49955585730731, -35.54663176064423, 98.27869735327954]","[5123.8879517721525, -83.92988151898737, -35.54663176064423, 98.27869735327977]","[5115.001293831991, -59.360207180667494, -35.54663176064787, 98.27869735327951]","[5106.1146358918295, -34.7905328423476, -35.54663176064423, 98.27869735327957]","[5097.227977951668, -10.22085850402766, -35.54663176064423, 98.27869735327977]","[5088.341320011507, 14.348815834292283, -35.54663176064423, 98.27869735327977]","[5079.454662071345, 38.91849017261211, -35.54663176064787, 98.27869735327931]","[5070.568004131185, 63.488164510932044, -35.54663176064062, 98.27869735327982]","[5061.681346191024, 88.057838849252, -35.54663176064423, 98.2786973532798]","[5052.794688250863, 112.62751318757181, -35.54663176064423, 98.27869735327926]","[5043.908030310702, 137.19718752589176, -35.54663176064423, 98.27869735327982]","[5035.021372370541, 161.7668618642117, -35.54663176064423, 98.27869735327977]","[5026.13471443038, 186.33653620253162, -35.54663176064423, 98.27869735327965]","[5017.248056490219, 210.90621054085148, -35.54663176064423, 98.27869735327943]","[5008.361398550058, 235.47588487917145, -35.54663176064423, 98.27869735327988]"
8,People,"[4999.474740609897, 260.04555921749136, 0, 0]","[4990.588082669736, 284.6152335558112, -35.54663176064423, 98.27869735327931]","[4923.26201, 275.08693999999997, -269.30429067894147, -38.11317422324487]","[4602.70629, 37.5207, -1282.2228800000012, -950.2649599999999]","[4307.98134, -225.24612000000002, -1178.8997999999992, -1051.06728]","[3986.20962, -350.86283, -1287.0868800000007, -502.4668399999998]","[3647.36993, -409.42741, -1355.358760000001, -234.25832000000014]","[3390.80586, -534.9287400000001, -1026.2562799999996, -502.0053200000002]","[3135.16395, -716.53865, -1022.5676400000002, -726.4396400000003]","[2836.10106, -877.77841, -1196.2515600000006, -644.9590400000002]","[2519.66161, -922.02779, -1265.7577999999994, -176.9975199999999]","[2156.46567, -925.0396900000001, -1452.7837600000003, -12.04760000000033]","[1844.07862, -1017.9567699999999, -1249.5482000000002, -371.6683199999993]","[1513.54503, -1149.50755, -1322.13436, -526.2031200000006]","[1156.01495, -1188.23056, -1430.12032, -154.89203999999972]","[797.15631, -1131.10023, -1435.4345600000001, 228.52131999999983]"
9,People,"[450.30452, -1134.31589, 0, 0]","[152.97399, -1233.59216, -1189.3221200000003, -397.10507999999936]","[-148.66306, -1361.4610400000001, -1206.5482, -511.47552000000087]","[-485.46491, -1389.5829, -1347.2073999999998, -112.48743999999988]","[-874.0126300000001, -1355.95874, -1554.1908800000003, 134.4966400000003]","[-1207.31361, -1448.8532599999999, -1333.2039199999995, -371.5780799999993]","[-1517.5169, -1580.2771300000002, -1240.8131600000006, -525.6954800000012]","[-1838.93475, -1637.75722, -1285.6713999999993, -229.92035999999916]","[-2154.13925, -1594.96766, -1260.8180000000023, 171.1582399999999]","[-2488.4270100000003, -1510.18181, -1337.1510400000006, 339.14339999999993]","[-2806.04237, -1495.38061, -1270.4614399999991, 59.20480000000043]","[-3138.91192, -1479.5380599999999, -1331.4781999999996, 63.370200000000295]","[-3445.7306700000004, -1379.3537800000001, -1227.2750000000015, 400.73711999999887]","[-3760.5941, -1202.91466, -1259.4537199999977, 705.7564800000009]","[-4094.07562, -1066.49292, -1333.926080000001, 545.68696]","[-4428.92175, -983.53853, -1339.3845200000014, 331.8175599999995]"
