,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[-8600.99333, 486.11208, 0, 0]","[-8600.843813333333, 488.13955, 0.5980666666655452, 8.109879999999976]","[-8604.20498, 489.6577, -13.444666666669946, 6.072599999999966]","[-8617.59426, 498.54205, -53.55711999999767, 35.53740000000016]","[-8629.45842, 502.50240999999994, -47.45664000000397, 15.841439999999693]","[-8635.499029999999, 503.75915999999995, -24.162439999992785, 5.027000000000044]","[-8636.803, 502.08569000000006, -5.215880000003381, -6.693879999999581]","[-8638.23654, 504.40432999999996, -5.734159999999974, 9.27455999999961]","[-8641.721441956519, 506.474645, -13.939607826076111, 8.28126000000021]","[-8644.748697391304, 508.99902000000003, -12.10902173913928, 10.097500000000082]","[-8648.50888, 511.25264000000004, -15.040730434782745, 9.014480000000049]","[-8653.513673783784, 513.0668756756756, -20.01917513513763, 7.256942702702418]","[-8653.70628864865, 511.73842297297296, -0.7704594594615628, -5.3138108108107645]","[-8651.986754382471, 508.4985044621514, 6.878137064712064, -12.959674043286213]","[-8646.15426434263, 502.8997873306773, 23.329960159368056, -22.3948685258963]","[-8640.321774302789, 497.3010701992032, 23.32996015936078, -22.394868525896527]"
1,People,"[-8634.489284262949, 491.702353067729, 0, 0]","[-8628.656794223107, 486.10363593625505, 23.329960159368056, -22.394868525895845]","[-8622.824304183267, 480.50491880478086, 23.32996015936078, -22.394868525896754]","[-8616.991814143426, 474.9062016733068, 23.32996015936078, -22.3948685258963]","[-8611.159324103584, 469.3074845418327, 23.329960159368056, -22.3948685258963]","[-8605.326834063744, 463.7087674103585, 23.32996015936078, -22.394868525896754]","[-8599.494344023904, 458.1100502788845, 23.32996015936078, -22.394868525896072]","[-8581.155644770643, 441.4471960550459, 73.35479701304575, -66.65141689535449]","[-8522.723747981652, 398.0682212844037, 233.72758715596157, -173.51589908256884]","[-8464.29185119266, 354.68924651376153, 233.72758715596865, -173.5158990825687]","[-8405.859954403672, 311.3102717431193, 233.7275871559541, -173.51589908256892]","[-8347.42805761468, 267.9312969724771, 233.72758715596865, -173.5158990825687]","[-8260.959509999999, 293.90275, 345.8741904587223, 103.88581211009159]","[-8070.592265591054, 329.7025559105432, 761.4689776357809, 143.19922364217268]","[-7880.225021182109, 365.50236182108637, 761.4689776357773, 143.19922364217268]","[-7689.857776773163, 401.3021677316294, 761.4689776357845, 143.19922364217223]"
2,People,"[-7499.490532364218, 437.1019736421725, 0, 0]","[-7309.123287955273, 472.9017795527157, 761.4689776357809, 143.1992236421729]","[-7118.756043546326, 508.7015854632588, 761.4689776357882, 143.19922364217246]","[-6928.3887991373795, 544.5013913738019, 761.4689776357845, 143.19922364217223]","[-6738.021554728435, 580.3011972843451, 761.4689776357773, 143.1992236421729]","[-6547.654310319488, 616.1010031948881, 761.4689776357882, 143.199223642172]","[-6357.287065910543, 651.9008091054312, 761.4689776357809, 143.19922364217246]","[-6166.919821501597, 687.7006150159742, 761.4689776357845, 143.199223642172]","[-5976.552577092652, 723.5004209265177, 761.468977635778, 143.19922364217393]","[-5755.38479, 696.08771, 884.6711483706094, -109.65084370607065]","[-5495.427970000001, 598.5724, 1039.8272799999977, -390.06124]","[-5253.23741, 596.7185, 968.7622400000037, -7.415600000000268]","[-4976.06184, 653.53176, 1108.7022799999977, 227.25304000000006]","[-4728.801670000001, 661.57225, 989.0406799999982, 32.16196000000036]","[-4419.788565000002, 695.91462, 1236.0524199999963, 137.36947999999984]","[-4111.57391, 750.23229, 1232.8586200000063, 217.27068000000008]"
3,People,"[-3887.9489700000004, 908.1781900000001, 0, 0]","[-3627.29507, 1040.52889, 1042.615600000001, 529.4027999999998]","[-3325.449, 1134.9391699999999, 1207.3842800000002, 377.6411199999993]","[-3012.49013, 1209.17887, 1251.8354799999997, 296.95880000000034]","[-2768.84638, 1366.3235, 974.5750000000007, 628.57852]","[-2556.88726, 1573.1104300000002, 847.8364799999999, 827.1477200000008]","[-2325.32115, 1699.8784, 926.264439999999, 507.0718799999995]","[-2042.25781, 1800.8559899999998, 1132.2533600000006, 403.91035999999895]","[-1791.82357, 1931.7333199999998, 1001.7369600000011, 523.5093200000006]","[-1583.88523, 2120.53502, 831.7533599999997, 755.2067999999999]","[-1372.61904, 2329.8114800000003, 845.0647600000002, 837.105840000002]","[-1186.20752, 2437.69858, 745.6460800000004, 431.5483999999997]","[-954.5888, 2491.02927, 926.4748799999998, 213.3227599999991]","[-809.44021, 2584.02655, 580.59436, 371.9891200000002]","[-734.57903, 2700.77827, 299.44471999999996, 467.006879999999]","[-663.33585, 2876.59447, 284.97271999999975, 703.2648000000008]"
4,People,"[-561.68964, 2947.8406800000002, 0, 0]","[-487.56255, 2929.07224, 296.50836000000027, -75.07376000000113]","[-411.43919, 2920.6725300000003, 304.49343999999996, -33.598839999998745]","[-326.55086, 3019.30877, 339.55332, 394.54495999999926]","[-236.43569, 3106.9122899999998, 360.46068, 350.41407999999865]","[-237.4313, 3157.90115, -3.982439999999997, 203.95544000000154]","[-288.41555, 3126.59525, -203.937, -125.22360000000117]","[-304.89972, 3076.74867, -65.93668000000002, -199.3863199999996]","[-310.48737, 3107.15742, -22.350600000000007, 121.63500000000033]","[-265.97176, 3124.29949, 178.06243999999992, 68.5682799999995]","[-212.32367999999997, 3118.01795, 214.5923200000002, -25.1261599999998]","[-178.77991, 3121.77304, 134.17507999999987, 15.020360000000437]","[-173.85952, 3124.703, 19.68155999999999, 11.71983999999975]","[-251.55853, 3129.68137, -310.79603999999995, 19.913479999999254]","[-307.81106, 3107.00942, -225.01012000000003, -90.6877999999997]","[-337.98742999999996, 3092.91841, -120.70547999999985, -56.36403999999857]"
5,People,"[-338.19517, 3089.86765, 0, 0]","[-353.92629, 3100.45155, -62.9244799999999, 42.33560000000034]","[-367.46659, 3113.60212, -54.16120000000001, 52.602279999999155]","[-372.89082, 3110.98615, -21.69692000000009, -10.463879999999335]","[-375.49407, 3112.3716, -10.413000000000011, 5.541799999999057]","[-373.29966, 3114.05877, 8.77764000000002, 6.748680000000604]","[-359.82142999999996, 3107.92166, 53.91292000000021, -24.548440000000483]","[-203.26233, 3075.98469, 626.2363999999999, -127.7478800000008]","[19.52224, 3176.73015, 891.1382800000008, 402.9818400000007]","[120.52961, 3255.93655, 404.02948000000004, 316.8256000000001]","[118.9221, 3295.93248, -6.4300400000000195, 159.98372000000018]","[100.59942, 3306.41988, -73.29072000000002, 41.94959999999992]","[75.46181999999999, 3318.93348, -100.55040000000002, 50.054400000000896]","[40.872890000000005, 3333.51436, -138.35571999999993, 58.32351999999992]","[14.61936, 3335.3847600000004, -105.01412000000002, 7.481600000000981]","[-2.67789, 3345.95864, -69.18900000000001, 42.29551999999785]"
6,People,"[53.67804, 3392.74316, 0, 0]","[87.28605999999999, 3435.11048, 134.43207999999996, 169.46927999999934]","[84.12404000000001, 3482.90756, -12.648079999999936, 191.1883200000011]","[85.62200000000001, 3494.3416899999997, 5.991840000000025, 45.73651999999856]","[96.90624, 3496.81701, 45.13695999999993, 9.901280000001861]","[98.8885, 3494.37264, 7.929039999999986, -9.77748000000065]","[80.89454, 3497.9861, -71.97583999999995, 14.453840000000127]","[74.81018234042556, 3502.425005106383, -24.337430638297803, 17.75562042553247]","[74.10573287234044, 3509.0985130851063, -2.817797872340466, 26.694031914892573]","[73.40128340425531, 3515.77202106383, -2.8177978723405204, 26.694031914894367]","[72.69683393617022, 3522.445529042553, -2.81779787234035, 26.69403191489255]","[69.89581, 3520.1252200000004, -11.204095744680899, -9.281236170210832]","[68.33440999999999, 3519.4110600000004, -6.2456000000000245, -2.8566399999999703]","[64.33031, 3510.7412200000003, -16.016399999999976, -34.67936000000009]","[66.99726, 3459.29181, 10.6678, -205.79764000000068]","[-37.1259, 3352.11757, -416.49264, -428.6969600000011]"
7,People,"[-180.48817, 3238.33002, 0, 0]","[-274.74922999999995, 3093.90669, -377.04423999999983, -577.6933200000003]","[-276.97757, 3017.0354899999998, -8.913360000000239, -307.4848000000002]","[-207.08033, 2974.55418, 279.58896000000004, -169.92523999999867]","[-129.64898, 2959.23604, 309.72540000000004, -61.27256000000125]","[-97.02253, 2944.89802, 130.50579999999997, -57.35207999999875]","[-131.1644, 2907.24402, -136.56748, -150.61599999999999]","[-214.92914, 2889.809, -335.05895999999996, -69.74007999999958]","[-290.09379, 2889.07736, -300.6586000000004, -2.926559999999884]","[-368.43582000000004, 2881.01972, -313.3681200000001, -32.23056000000179]","[-385.50264, 2817.37471, -68.2672799999998, -254.58003999999892]","[-359.10778, 2738.5797, 105.57943999999998, -315.1800400000011]","[-373.52495, 2664.03656, -57.668679999999995, -298.17255999999907]","[-555.12042, 2613.79854, -726.3818799999999, -200.95208000000093]","[-813.11967, 2540.85167, -1031.9970000000003, -291.78747999999905]","[-975.90555, 2417.13526, -651.1435199999996, -494.86564]"
8,People,"[-1100.87426, 2254.60258, 0, 0]","[-1312.20936, 2088.4493199999997, -845.3404, -664.613040000002]","[-1692.11107, 1963.48792, -1519.6068399999995, -499.84559999999874]","[-2030.90934, 1856.23445, -1355.19308, -429.0138800000004]","[-2310.5001899999997, 1710.67045, -1118.3633999999993, -582.2559999999994]","[-2631.54027, 1592.52325, -1284.1603200000009, -472.58880000000045]","[-3018.51997, 1540.84224, -1547.9187999999995, -206.72404000000006]","[-3411.5308, 1457.99581, -1572.0433200000007, -331.3857200000002]","[-3762.6364299999996, 1345.77971, -1404.4225199999994, -448.8643999999999]","[-4086.0616566666663, 1271.84647, -1293.700906666667, -295.7329600000003]","[-4431.55845, 1235.8678599999996, -1381.9871733333366, -143.91444000000138]","[-4797.708216666666, 1145.8536233333334, -1464.599066666662, -360.05694666666477]","[-5145.78813, 998.8005199999999, -1392.3196533333357, -588.2124133333341]","[-5504.72225, 904.1787300000001, -1435.7364799999996, -378.4871599999992]","[-5841.42697, 864.3362400000001, -1346.8188800000025, -159.36996]","[-6151.476037555555, 831.6547559259261, -1240.196270222219, -130.7259362962959]"
9,People,"[-6365.499743111111, 851.5555985185185, 0, 0]","[-6579.523448666668, 871.4564411111113, -856.0948222222287, 79.60337037037107]","[-6793.547154222221, 891.3572837037037, -856.0948222222141, 79.6033703703697]","[-7007.570859777778, 911.2581262962964, -856.0948222222287, 79.60337037037061]","[-7221.594565333333, 931.1589688888887, -856.0948222222178, 79.60337037036925]","[-7435.618270888888, 951.0598114814816, -856.0948222222214, 79.60337037037152]","[-7649.6419764444445, 970.960654074074, -856.094822222225, 79.6033703703697]","[-7863.665681999999, 990.8614966666668, -856.0948222222178, 79.60337037037107]","[-8077.689387555555, 1010.7623392592592, -856.0948222222258, 79.60337037036977]","[-8291.71309311111, 1030.6631818518517, -856.0948222222178, 79.60337037037016]","[-8381.40475, 1085.30546, -358.76662755556026, 218.56911259259323]","[-8362.25021, 1101.4201, 76.61815999999817, 64.45856000000003]","[-8308.70421, 1094.2587800000001, 214.1840000000011, -28.64527999999973]","[-8162.60617, 1101.96795, 584.3921599999994, 30.836679999999433]","[-8006.9153361538465, 1107.5283392307692, 622.763335384614, 22.24155692307704]","[-7827.940729999999, 1082.8817, 715.8984246153886, -98.5865569230773]"
