,Type,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16
0,People,"[2583.0459100000003, 707.08587, 0, 0]","[2275.02187, 586.62373, -1232.096160000001, -481.8485599999999]","[1945.25922, 472.69529000000006, -1319.0506000000005, -455.71375999999987]","[1723.48083, 289.81584, -887.1135599999998, -731.5178000000003]","[1498.99832, 76.34818, -897.9300400000002, -853.8706399999999]","[1223.20138, -110.0052, -1103.1877599999998, -745.4135200000001]","[938.1034300000001, -233.11365, -1140.3917999999994, -492.4338]","[626.4106099999999, -343.66843, -1246.7712800000008, -442.21912]","[417.7804, -517.14352, -834.5208400000005, -693.9003600000004]","[169.25676, -712.4852099999999, -994.0945599999999, -781.3667599999999]","[-100.1986, -858.8229699999999, -1077.8214400000002, -585.35104]","[-396.17727, -970.61449, -1183.91468, -447.1660800000004]","[-690.90091, -1098.81598, -1178.8945599999997, -512.8059600000001]","[-883.77965, -1294.94008, -771.51496, -784.4964]","[-1072.81317, -1523.4581699999999, -756.1340799999998, -914.0723599999992]","[-1226.2328400000001, -1736.57987, -613.6786800000009, -852.4868000000006]"
1,People,"[-1413.56888, -1929.0766600000002, 0, 0]","[-1606.90914, -2123.7026, -773.3610399999998, -778.5037599999996]","[-1744.96757, -2319.2436399999997, -552.2337200000002, -782.1641599999984]","[-1869.3126, -2547.11712, -497.3801199999998, -911.4939200000008]","[-2028.9111100000002, -2694.2009199999998, -638.394040000001, -588.3351999999995]","[-2232.29781, -2804.65863, -813.5467999999992, -441.83084000000053]","[-2362.39647, -2944.66124, -520.3946400000004, -560.01044]","[-2432.7885300000003, -3121.80079, -281.5682400000005, -708.5581999999995]","[-2458.08013256, -3281.5053493600008, -101.16641023999918, -638.8182374400045]","[-2443.27164056, -3260.8053473600007, 59.23396800000046, 82.80000800000016]","[-2428.4631485600007, -3240.10534536, 59.23396799999682, 82.8000080000038]","[-2413.65465656, -3219.40534336, 59.23396800000228, 82.80000799999834]","[-2398.84616456, -3198.70534136, 59.23396800000046, 82.80000800000016]","[-2384.03767256, -3178.00533936, 59.23396800000046, 82.80000800000016]","[-2369.22918056, -3157.30533736, 59.23396800000046, 82.80000800000016]","[-2354.42068856, -3136.60533536, 59.23396799999864, 82.80000800000016]"
2,People,"[-2339.61219656, -3115.9053333600004, 0, 0]","[-2324.80370456, -3095.2053313600004, 59.23396800000046, 82.80000800000016]","[-2237.08116, -2981.79968, 350.89017823999893, 453.6226054400013]","[-2052.41838, -2724.7590800000003, 738.6511200000004, 1028.1623999999993]","[-1975.06723, -2591.96781, 309.40459999999985, 531.1650800000007]","[-1991.45597, -2558.7804899999996, -65.55495999999948, 132.74928000000182]","[-2071.20065, -2611.8587899999998, -318.978720000001, -212.3132000000005]","[-2158.45571, -2612.93124, -349.02023999999983, -4.289800000000469]","[-2182.04612, -2633.47493, -94.36163999999926, -82.17475999999995]","[-2200.27692, -2611.9429800000003, -72.92319999999927, 86.12779999999839]","[-2216.14102, -2569.31286, -63.45640000000094, 170.52048000000104]","[-2171.68059, -2486.81302, 177.84172000000035, 329.9993599999998]","[-2084.6462100000003, -2336.2115, 348.1375199999984, 602.4060800000007]","[-2046.82455, -2248.2129600000003, 151.28664000000117, 351.9941599999984]","[-2016.9163600000002, -2248.7126, 119.63275999999951, -1.9985599999981787]","[-1948.71835, -2283.10794, 272.79204000000027, -137.58136000000013]"
3,People,"[-1926.19967, -2292.78251, 0, 0]","[-1915.10214, -2302.49247, 44.390120000000024, -38.83984000000055]","[-1900.54278, -2300.18013, 58.23743999999988, 9.249359999999797]","[-1900.57021, -2298.21367, -0.10972000000037951, 7.865840000000389]","[-2064.97101, -2273.2048600000003, -657.6032000000005, 100.03523999999925]","[-2059.44166, -2283.63403, 22.117400000001, -41.71667999999954]","[-1866.2532, -2316.20266, 772.7538399999994, -130.27451999999903]","[-1884.03675, -2305.6154300000003, -71.13419999999951, 42.34891999999854]","[-1969.5002, -2292.9234300000003, -341.85380000000015, 50.76800000000007]","[-1909.8955600000002, -2311.46903, 238.41855999999916, -74.18239999999969]","[-1874.98528, -2322.1665399999997, 139.64112000000023, -42.790039999998044]","[-1895.08635, -2327.1878100000004, -80.40427999999974, -20.085080000002563]","[-1893.6085, -2321.6853100000003, 5.911399999999958, 22.01000000000022]","[-1910.5507, -2247.5493100000003, -67.76879999999983, 296.54399999999987]","[-1893.89602, -2211.08008, 66.6187200000004, 145.8769200000006]","[-1885.6086899999998, -2225.20536, 33.14932000000044, -56.50111999999899]"
4,People,"[-1882.45102, -2243.331, 0, 0]","[-1879.2833899999998, -2243.11392, 12.670520000000579, 0.868320000001404]","[-1874.0388100000002, -2233.75402, 20.978319999998348, 37.4395999999997]","[-1871.2590100000002, -2232.71201, 11.119200000000092, 4.168039999998655]","[-1866.7770899999998, -2230.6689100000003, 17.9276800000016, 8.17239999999947]","[-1866.2741899999999, -2229.63159, 2.0115999999998166, 4.149280000001454]","[-1866.66854, -2233.73293, -1.5774000000001251, -16.405360000000655]","[-1870.5919, -2232.32633, -15.69344000000001, 5.626400000001013]","[-1877.184, -2228.42196, -26.368400000000317, 15.617479999998992]","[-1884.0947199999998, -2231.7944399999997, -27.642879999999423, -13.489919999998165]","[-1889.30446, -2224.28085, -20.838960000000952, 30.05435999999827]","[-1890.9976600000002, -2198.2692399999996, -6.772800000000643, 104.0464400000019]","[-1874.66281, -2141.28818, 65.33940000000075, 227.92423999999846]","[-1852.1171, -2204.1363899999997, 90.1828400000004, -251.3928399999986]","[-1911.1192399999998, -2403.29601, -236.0085599999993, -796.6384800000014]","[-1975.1721300000002, -2577.72123, -256.21156000000155, -697.7008800000003]"
5,People,"[-1964.19687, -2706.0624399999997, 0, 0]","[-1828.46765, -2820.43005, 542.9168799999998, -457.47044000000096]","[-1616.93246, -2929.8587, 846.1407600000002, -437.71460000000116]","[-1520.707, -3022.9940300000003, 384.90183999999954, -372.54132000000027]","[-1575.87286, -3106.09102, -220.66343999999935, -332.3879599999982]","[-1674.01059, -3157.40994, -392.5509200000006, -205.27568000000065]","[-1679.8523899999998, -3208.5778, -23.367199999998775, -204.67144000000008]","[-1586.30497, -3239.35709, 374.1896799999995, -123.11715999999979]","[-1504.65878, -3238.54752, 326.58476, 3.2382799999995795]","[-1450.58107, -3241.86853, 216.3108400000001, -13.28404000000046]","[-1446.0321199999998, -3268.12925, 18.195800000000418, -105.04287999999906]","[-1465.8102199999998, -3270.30469, -79.11239999999998, -8.701759999999922]","[-1470.9379800000002, -3270.21432, -20.51104000000123, 0.3614799999995739]","[-1467.20505, -3264.01619, 14.931720000000496, 24.792520000000877]","[-1469.75936, -3257.93512, -10.217239999999947, 24.324279999998907]","[-1474.1434, -3252.54246, -17.536159999999654, 21.570639999999912]"
6,People,"[-1503.00067, -3239.95201, 0, 0]","[-1565.38609, -3216.80959, -249.54168000000027, 92.56968000000052]","[-1627.97454, -3215.49661, -250.35379999999986, 5.2519199999987904]","[-1653.64208, -3187.81234, -102.67016000000058, 110.73708000000079]","[-1608.42413, -3108.6476, 180.8717999999999, 316.65896000000066]","[-1506.9376300000001, -3004.24416, 405.9459999999999, 417.61375999999836]","[-1423.43723, -2898.88647, 334.0016000000005, 421.4307600000011]","[-1360.66187, -2758.56401, 251.10144000000037, 561.2898399999995]","[-1427.62169, -2659.55444, -267.8392800000004, 396.038280000001]","[-1532.50505, -2581.9743, -419.53344000000016, 310.3205600000001]","[-1597.79772, -2514.93723, -261.1706800000002, 268.14827999999943]","[-1596.705, -2483.06414, 4.370880000000398, 127.49236000000019]","[-1519.20199, -2464.98225, 310.0120399999996, 72.32755999999972]","[-1387.71626, -2487.6675, 525.9429200000004, -90.74099999999999]","[-1244.4621, -2522.4277899999997, 573.0166399999998, -139.04115999999885]","[-1161.11015, -2524.71281, 333.40779999999995, -9.140080000001035]"
7,People,"[-1147.0915300000001, -2536.1772300000002, 0, 0]","[-1149.9972699999998, -2479.08405, -11.622959999998784, 228.3727200000012]","[-1172.49116, -2358.2825399999997, -89.97556000000077, 483.20604000000094]","[-1206.9804900000001, -2311.5205300000002, -137.95732000000044, 187.04803999999785]","[-1193.97741, -2251.75232, 52.01232000000073, 239.07284000000072]","[-1128.2050199999999, -2228.07327, 263.08956000000035, 94.71620000000075]","[-991.9115199999999, -2260.4776699999998, 545.174, -129.61759999999958]","[-789.47588, -2352.4548, 809.7425599999997, -367.90852000000086]","[-614.54738, -2344.7877, 699.7140000000005, 30.668400000000503]","[-552.28028, -2301.91892, 249.0684000000001, 171.47511999999915]","[-538.5989900000001, -2230.23784, 54.725159999999505, 286.72432000000117]","[-523.99788, -2123.5195, 58.40444000000025, 426.8733599999996]","[-505.23738, -1976.37885, 75.04200000000014, 588.5625999999993]","[-502.72094000000004, -1858.5036899999998, 10.065759999999727, 471.5006400000011]","[-494.80816, -1795.0583199999999, 31.65112000000022, 253.78147999999965]","[-410.324, -1769.31737, 337.9366399999999, 102.96379999999954]"
8,People,"[-263.12681000000003, -1772.2889100000002, 0, 0]","[-9.65455, -1758.88684, 1013.8890400000001, 53.60828000000129]","[157.32674, -1705.1435800000002, 667.92516, 214.97303999999895]","[197.03927, -1641.46028, 158.85011999999995, 254.73320000000058]","[197.74379, -1535.68947, 2.818080000000009, 423.08323999999993]","[194.70696, -1401.43776, -12.147319999999922, 537.00684]","[245.37097000000003, -1313.32591, 202.65604000000008, 352.4474]","[345.46675, -1293.96434, 400.38311999999985, 77.44628000000012]","[541.74991, -1357.48921, 785.1326400000007, -254.09948000000009]","[720.72933, -1410.52764, 715.91768, -212.15372000000025]","[825.34608, -1434.41731, 418.4670000000001, -95.5586800000001]","[857.49648, -1434.28449, 128.60159999999996, 0.5312800000001516]","[874.1581699999999, -1404.98078, 66.64675999999963, 117.21483999999964]","[904.66635, -1317.0427, 122.03272000000015, 351.7523200000005]","[916.2437699999999, -1193.3161699999998, 46.309679999999844, 494.90612000000056]","[926.51538, -1097.15878, 41.08644000000049, 384.6295599999994]"
9,People,"[975.5487699999999, -1050.0711900000001, 0, 0]","[1072.86194, -1060.45883, 389.2526800000005, -41.55055999999968]","[1260.59667, -1127.3941, 750.9389199999996, -267.7410799999998]","[1427.8348, -1153.88761, 668.9525200000007, -105.97404000000006]","[1504.19554, -1176.63379, 305.4429599999994, -90.98472000000038]","[1542.39936, -1172.37456, 152.8152799999998, 17.036920000000464]","[1549.15292, -1142.9064, 27.014240000000427, 117.87263999999959]","[1593.1956699999998, -1073.4872300000002, 176.17099999999937, 277.6766799999996]","[1675.55743, -980.12764, 329.4470400000012, 373.4383600000009]","[1709.29953, -891.5506, 134.96839999999975, 354.30816000000004]","[1746.7447, -829.82641, 149.78067999999985, 246.89676000000009]","[1883.15032, -831.66568, 545.62248, -7.357079999999769]","[2101.05987, -849.41004, 871.6382000000003, -70.97744000000012]","[2222.60218, -829.86424, 486.16923999999926, 78.18319999999994]","[2266.33161, -784.9047099999999, 174.91772000000128, 179.83812000000034]","[2249.72755, -680.69495, -66.41624000000047, 416.83903999999984]"
